Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...az/live, /nwn/apps/live/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:38:23 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,215.270,63.871," 3,37","   122,29","   412,16"
02.04,206.477,62.772," 3,29","   124,47","   409,41"
03.04,217.141,62.424," 3,48","   122,31","   425,46"
04.04,205.403,59.828," 3,43","   119,04","   408,69"
05.04,204.348,62.718," 3,26","   117,00","   381,20"
06.04,223.095,66.301," 3,36","   122,64","   412,67"
07.04,199.444,60.738," 3,28","   127,99","   420,27"
08.04,216.946,64.195," 3,38","   123,47","   417,28"
09.04,189.825,58.783," 3,23","   117,67","   380,00"
10.04,204.390,60.459," 3,38","   113,33","   383,11"
11.04,190.862,58.530," 3,26","   119,45","   389,52"
12.04,206.686,62.092," 3,33","   113,06","   376,33"
13.04,206.652,62.833," 3,29","   115,58","   380,13"
14.04,186.487,57.871," 3,22","   120,16","   387,22"
15.04,201.505,60.471," 3,33","   120,40","   401,20"
16.04,200.076,61.897," 3,23","   129,98","   420,16"
17.04,179.156,54.595," 3,28","   115,16","   377,90"
18.04,158.607,52.055," 3,05","   124,46","   379,21"
19.04,167.670,55.354," 3,03","   118,19","   358,01"
20.04,174.759,54.206," 3,22","   118,93","   383,42"
21.04,190.932,57.005," 3,35","   112,91","   378,18"
22.04,186.998,56.290," 3,32","   123,88","   411,52"
23.04,158.910,50.948," 3,12","   119,79","   373,63"
24.04,175.843,52.957," 3,32","   113,45","   376,70"
25.04,165.934,51.328," 3,23","   112,98","   365,26"
26.04,185.944,55.547," 3,35","   108,60","   363,54"
27.04,192.823,55.699," 3,46","   115,54","   400,00"
28.04,210.253,58.520," 3,59","   115,46","   414,83"
29.04,199.121,58.215," 3,42","   131,04","   448,21"
30.04,183.228,55.343," 3,31","   121,59","   402,57"
?,5.804.785,1.753.845," 99,19","   3580,81","   11837,77"
?,193.493,58.462," 3,31","   119,36","   394,59"
