Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...paper, /nwn/apps/epaper/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:39:23 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,163.429,10.374," 15,75","   39,35","   619,87"
02.04,136.366,7.832," 17,41","   42,29","   736,32"
03.04,149.112,8.161," 18,27","   39,33","   718,53"
04.04,224.610,8.729," 25,73","   38,16","   981,91"
05.04,52.909,2.237," 23,65","   32,62","   771,60"
06.04,144.791,8.692," 16,66","   42,92","   714,97"
07.04,145.521,8.294," 17,55","   43,67","   766,14"
08.04,158.255,10.743," 14,73","   41,38","   609,59"
09.04,166.870,7.663," 21,78","   36,21","   788,49"
10.04,32.869,2.463," 13,35","   30,86","   411,83"
11.04,209.849,9.064," 23,15","   35,05","   811,41"
12.04,44.949,2.066," 21,76","   31,90","   694,14"
13.04,32.744,2.228," 14,70","   29,25","   429,89"
14.04,146.799,9.148," 16,05","   44,69","   717,21"
15.04,156.758,8.249," 19,00","   39,92","   758,58"
16.04,151.708,8.201," 18,50","   40,10","   741,85"
17.04,152.056,8.225," 18,49","   38,15","   705,21"
18.04,219.874,8.563," 25,68","   33,58","   862,19"
19.04,50.261,2.088," 24,07","   30,05","   723,40"
20.04,144.077,8.833," 16,31","   41,44","   675,92"
21.04,137.865,8.203," 16,81","   40,30","   677,36"
22.04,148.002,8.125," 18,22","   38,50","   701,25"
23.04,143.604,8.004," 17,94","   40,46","   725,92"
24.04,165.107,7.956," 20,75","   33,02","   685,21"
25.04,218.049,8.395," 25,97","   32,88","   854,03"
26.04,45.857,2.001," 22,92","   33,34","   764,15"
27.04,141.142,8.765," 16,10","   44,30","   713,34"
28.04,155.564,8.298," 18,75","   39,25","   735,83"
29.04,155.428,8.304," 18,72","   40,30","   754,32"
30.04,165.874,8.275," 20,05","   35,84","   718,45"
?,4.160.299,218.179," 578,80","   1129,11","   21568,91"
?,138.677,7.273," 19,29","   37,64","   718,96"
