Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/p...iz/live, /nwn/apps/live/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:43:47 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,7.339,2.577," 2,85","   115,79","   329,77"
02.04,7.041,2.516," 2,80","   117,08","   327,64"
03.04,7.225,2.532," 2,85","   122,73","   350,21"
04.04,6.414,2.352," 2,73","   128,05","   349,18"
05.04,7.516,2.641," 2,85","   111,88","   318,39"
06.04,7.848,2.799," 2,80","   115,29","   323,26"
07.04,6.822,2.517," 2,71","   120,95","   327,81"
08.04,6.656,2.496," 2,67","   122,92","   327,77"
09.04,7.167,2.657," 2,70","   113,41","   305,92"
10.04,7.028,2.538," 2,77","   103,54","   286,72"
11.04,7.142,2.519," 2,84","   121,75","   345,20"
12.04,6.825,2.444," 2,79","   115,72","   323,16"
13.04,7.350,2.616," 2,81","   118,49","   332,92"
14.04,6.551,2.456," 2,67","   110,20","   293,93"
15.04,6.958,2.504," 2,78","   109,87","   305,31"
16.04,6.748,2.457," 2,75","   119,68","   328,69"
17.04,6.003,2.248," 2,67","   114,69","   306,27"
18.04,6.537,2.267," 2,88","   116,79","   336,78"
19.04,6.310,2.365," 2,67","   117,30","   312,97"
20.04,5.987,2.376," 2,52","   128,36","   323,44"
21.04,6.383,2.318," 2,75","   109,16","   300,58"
22.04,6.111,2.256," 2,71","   120,40","   326,15"
23.04,5.295,2.063," 2,57","   112,71","   289,30"
24.04,6.657,2.269," 2,93","   110,66","   324,65"
25.04,6.080,2.116," 2,87","   117,40","   337,34"
26.04,7.072,2.555," 2,77","   113,83","   315,07"
27.04,6.518,2.395," 2,72","   120,71","   328,52"
28.04,6.218,2.272," 2,74","   116,97","   320,12"
29.04,6.537,2.435," 2,68","   123,06","   330,37"
30.04,6.450,2.356," 2,74","   116,50","   318,93"
?,200.788,72.912," 82,58","   3505,90","   9646,38"
?,6.693,2.430," 2,75","   116,86","   321,55"
