Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/t...paper, /nwn/apps/epaper/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:44:14 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,9.086,642," 14,15","   41,97","   594,01"
02.04,10.382,620," 16,75","   32,93","   551,45"
03.04,9.190,621," 14,80","   38,28","   566,53"
04.04,15.924,667," 23,87","   31,35","   748,55"
05.04,3.240,156," 20,77","   30,54","   634,38"
06.04,9.067,683," 13,28","   38,13","   506,14"
07.04,8.301,611," 13,59","   38,74","   526,37"
08.04,9.052,870," 10,40","   42,71","   444,38"
09.04,11.923,553," 21,56","   29,00","   625,28"
10.04,2.266,169," 13,41","   23,62","   316,74"
11.04,15.756,731," 21,55","   32,70","   704,73"
12.04,3.794,146," 25,99","   27,24","   707,95"
13.04,2.701,147," 18,37","   29,81","   547,75"
14.04,8.450,654," 12,92","   46,97","   606,88"
15.04,8.890,632," 14,07","   38,31","   538,88"
16.04,9.217,623," 14,79","   35,50","   525,19"
17.04,9.071,608," 14,92","   38,17","   569,42"
18.04,16.381,662," 24,74","   30,09","   744,45"
19.04,3.918,158," 24,80","   31,88","   790,63"
20.04,8.543,696," 12,27","   43,09","   528,89"
21.04,9.093,661," 13,76","   36,28","   499,06"
22.04,8.654,599," 14,45","   37,63","   543,67"
23.04,9.575,608," 15,75","   36,79","   579,41"
24.04,8.633,610," 14,15","   36,79","   520,72"
25.04,16.230,672," 24,15","   28,98","   699,93"
26.04,3.308,123," 26,89","   26,37","   709,13"
27.04,8.150,689," 11,83","   45,28","   535,59"
28.04,9.543,660," 14,46","   33,90","   490,12"
29.04,8.773,605," 14,50","   32,38","   469,60"
30.04,11.391,630," 18,08","   30,87","   558,09"
?,268.502,16.506," 515,03","   1046,31","   17383,91"
?,8.950,550," 17,17","   34,88","   579,46"
