Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph.../ot/live, /nwn/apps/live/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:44:42 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,16.991,5.706," 2,98","   118,83","   353,84"
02.04,17.153,5.750," 2,98","   114,94","   342,88"
03.04,17.361,5.503," 3,15","   111,79","   352,68"
04.04,18.979,5.768," 3,29","   107,12","   352,46"
05.04,17.159,5.586," 3,07","   106,22","   326,29"
06.04,17.656,5.615," 3,14","   111,09","   349,31"
07.04,18.597,5.546," 3,35","   107,58","   360,74"
08.04,17.616,5.644," 3,12","   108,87","   339,80"
09.04,17.141,5.549," 3,09","   98,31","   303,69"
10.04,18.915,5.618," 3,37","   98,76","   332,49"
11.04,15.583,5.325," 2,93","   108,44","   317,33"
12.04,17.150,5.461," 3,14","   96,82","   304,05"
13.04,18.486,5.896," 3,14","   104,24","   326,82"
14.04,15.742,5.371," 2,93","   111,94","   328,08"
15.04,15.583,5.254," 2,97","   106,64","   316,28"
16.04,16.753,5.465," 3,07","   111,63","   342,22"
17.04,15.029,4.859," 3,09","   105,12","   325,15"
18.04,13.462,4.662," 2,89","   111,14","   320,93"
19.04,13.780,4.939," 2,79","   109,52","   305,58"
20.04,13.960,4.853," 2,88","   111,26","   320,04"
21.04,15.498,4.898," 3,16","   97,66","   309,00"
22.04,14.353,4.873," 2,95","   116,76","   343,92"
23.04,13.365,4.648," 2,88","   110,88","   318,82"
24.04,13.957,4.615," 3,02","   107,99","   326,60"
25.04,13.629,4.703," 2,90","   109,26","   316,63"
26.04,15.551,5.285," 2,94","   101,29","   298,04"
27.04,16.104,4.880," 3,30","   100,95","   333,12"
28.04,14.949,4.751," 3,15","   105,07","   330,61"
29.04,16.441,5.266," 3,12","   117,00","   365,28"
30.04,16.145,5.021," 3,22","   107,69","   346,28"
?,483.088,157.310," 92,00","   3234,79","   9908,94"
?,16.103,5.244," 3,07","   107,83","   330,30"
