Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph...epaper, /nwn/apps/epaper/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:45:08 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,43.280,2.069," 20,92","   34,46","   720,91"
02.04,33.886,2.012," 16,84","   40,31","   678,88"
03.04,37.019,2.047," 18,08","   35,05","   633,80"
04.04,58.523,2.096," 27,92","   31,90","   890,61"
05.04,12.336,516," 23,91","   31,33","   749,02"
06.04,35.102,2.167," 16,20","   37,54","   608,07"
07.04,33.738,1.957," 17,24","   40,42","   696,86"
08.04,41.169,2.044," 20,14","   34,33","   691,47"
09.04,39.551,1.966," 20,12","   32,16","   646,90"
10.04,7.250,670," 10,82","   29,75","   321,91"
11.04,56.511,2.198," 25,71","   30,99","   796,77"
12.04,12.369,488," 25,35","   29,77","   754,47"
13.04,7.922,708," 11,19","   30,81","   344,78"
14.04,35.150,2.269," 15,49","   41,59","   644,35"
15.04,40.261,1.993," 20,20","   32,70","   660,54"
16.04,35.580,1.953," 18,22","   34,80","   633,90"
17.04,36.209,1.959," 18,48","   34,67","   640,91"
18.04,60.880,2.095," 29,06","   29,68","   862,40"
19.04,11.231,478," 23,50","   32,62","   766,38"
20.04,33.079,2.061," 16,05","   38,71","   621,29"
21.04,31.833,1.985," 16,04","   36,93","   592,32"
22.04,35.947,1.899," 18,93","   36,31","   687,31"
23.04,36.792,1.934," 19,02","   34,63","   658,73"
24.04,34.194,1.893," 18,06","   32,45","   586,13"
25.04,58.276,2.031," 28,69","   26,53","   761,11"
26.04,11.678,475," 24,59","   30,67","   754,03"
27.04,33.328,2.149," 15,51","   40,99","   635,75"
28.04,36.415,2.035," 17,89","   34,63","   619,62"
29.04,39.248,1.969," 19,93","   34,12","   680,02"
30.04,39.153,2.048," 19,12","   32,06","   612,94"
?,1.027.910,52.164," 593,22","   1022,89","   19952,19"
?,34.264,1.739," 19,77","   34,10","   665,07"
