Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /nwn/apps/epaper/saw,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:45:25 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,8,5," 1,60","   183,00","   292,80"
02.04,82,3," 27,33","   25,83","   706,11"
03.04,3,3," 1,00","   0,00","   0,00"
04.04,654,27," 24,22","   52,21","   1264,62"
05.04,475,27," 17,59","   31,15","   548,02"
06.04,162,7," 23,14","   11,49","   265,92"
07.04,227,4," 56,75","   3,72","   211,22"
08.04,2,2," 1,00","   0,00","   0,00"
09.04,11,7," 1,57","   80,00","   125,71"
10.04,6,4," 1,50","   391,00","   586,50"
11.04,1.329,37," 35,92","   26,53","   953,06"
12.04,560,19," 29,47","   28,04","   826,41"
13.04,346,18," 19,22","   19,11","   367,27"
14.04,6,3," 2,00","   14,00","   28,00"
15.04,138,8," 17,25","   23,45","   404,45"
16.04,57,5," 11,40","   16,77","   191,17"
17.04,52,8," 6,50","   33,80","   219,67"
18.04,1.120,30," 37,33","   27,90","   1041,77"
19.04,476,23," 20,70","   23,08","   477,74"
20.04,84,7," 12,00","   17,78","   213,35"
21.04,0,0," 0,00","   0,00","   0,00"
22.04,0,0," 0,00","   0,00","   0,00"
23.04,12,4," 3,00","   30,25","   90,75"
24.04,3,2," 1,50","   27,00","   40,50"
25.04,1.136,39," 29,13","   31,87","   928,28"
26.04,600,18," 33,33","   19,41","   647,16"
27.04,72,7," 10,29","   6,62","   68,14"
28.04,136,4," 34,00","   5,96","   202,71"
29.04,21,3," 7,00","   2,50","   17,50"
30.04,31,5," 6,20","   132,52","   821,62"
?,7.809,329," 471,95","   1265,00","   11540,45"
?,260,11," 15,73","   42,17","   384,68"
