Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...oz/live, /nwn/apps/live/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:45:59 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,46.975,14.494," 3,24","   125,50","   406,74"
02.04,43.102,14.160," 3,04","   125,60","   382,33"
03.04,46.295,14.101," 3,28","   123,70","   406,12"
04.04,42.427,13.442," 3,16","   118,23","   373,17"
05.04,42.667,13.962," 3,06","   115,48","   352,90"
06.04,44.664,14.185," 3,15","   115,49","   363,66"
07.04,45.339,13.863," 3,27","   113,87","   372,43"
08.04,43.119,13.702," 3,15","   120,93","   380,57"
09.04,44.402,13.906," 3,19","   110,84","   353,92"
10.04,45.668,13.973," 3,27","   106,29","   347,40"
11.04,41.553,13.175," 3,15","   114,02","   359,62"
12.04,42.016,13.549," 3,10","   110,88","   343,83"
13.04,44.630,14.200," 3,14","   111,39","   350,09"
14.04,41.888,13.155," 3,18","   113,31","   360,79"
15.04,40.907,13.091," 3,12","   112,93","   352,89"
16.04,42.206,13.596," 3,10","   125,47","   389,49"
17.04,38.325,11.844," 3,24","   106,59","   344,91"
18.04,34.420,11.703," 2,94","   127,14","   373,93"
19.04,34.811,12.242," 2,84","   117,16","   333,15"
20.04,38.485,12.489," 3,08","   119,32","   367,68"
21.04,39.580,12.392," 3,19","   110,15","   351,81"
22.04,37.093,12.331," 3,01","   117,91","   354,69"
23.04,34.621,11.384," 3,04","   117,18","   356,36"
24.04,34.788,11.800," 2,95","   119,95","   353,64"
25.04,34.365,11.746," 2,93","   116,47","   340,75"
26.04,39.395,12.971," 3,04","   112,73","   342,38"
27.04,43.868,12.767," 3,44","   106,96","   367,53"
28.04,45.508,12.779," 3,56","   101,99","   363,20"
29.04,45.165,13.226," 3,41","   114,13","   389,73"
30.04,40.748,12.617," 3,23","   124,09","   400,77"
?,1.239.030,392.845," 94,52","   3475,72","   10936,49"
?,41.301,13.095," 3,15","   115,86","   364,55"
