Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...paper, /nwn/apps/epaper/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:46:19 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,71.470,3.354," 21,31","   34,12","   727,15"
02.04,57.509,3.307," 17,39","   40,30","   700,81"
03.04,60.767,3.319," 18,31","   38,06","   696,85"
04.04,94.406,3.454," 27,33","   32,87","   898,44"
05.04,21.623,835," 25,90","   32,12","   831,85"
06.04,56.993,3.595," 15,85","   38,18","   605,25"
07.04,57.235,3.309," 17,30","   40,25","   696,26"
08.04,68.113,3.356," 20,30","   35,05","   711,44"
09.04,68.222,3.298," 20,69","   32,52","   672,64"
10.04,10.609,1.027," 10,33","   29,56","   305,37"
11.04,96.842,3.590," 26,98","   30,26","   816,28"
12.04,18.337,789," 23,24","   29,96","   696,19"
13.04,12.946,1.062," 12,19","   27,90","   340,13"
14.04,61.360,3.567," 17,20","   38,43","   661,07"
15.04,66.272,3.270," 20,27","   34,73","   703,82"
16.04,58.168,3.201," 18,17","   34,15","   620,61"
17.04,59.221,3.282," 18,04","   36,35","   655,87"
18.04,96.163,3.418," 28,13","   30,68","   863,04"
19.04,20.612,805," 25,60","   29,53","   756,22"
20.04,56.324,3.546," 15,88","   39,41","   625,96"
21.04,52.078,3.279," 15,88","   40,54","   643,94"
22.04,57.414,3.249," 17,67","   37,86","   669,07"
23.04,59.873,3.256," 18,39","   36,84","   677,45"
24.04,58.712,3.174," 18,50","   36,12","   668,07"
25.04,91.985,3.319," 27,71","   28,83","   799,01"
26.04,18.895,755," 25,03","   30,55","   764,62"
27.04,57.415,3.505," 16,38","   39,44","   646,10"
28.04,63.223,3.391," 18,64","   36,34","   677,47"
29.04,70.929,3.366," 21,07","   31,88","   671,73"
30.04,65.810,3.289," 20,01","   34,95","   699,37"
?,1.709.526,85.967," 599,70","   1037,79","   20502,07"
?,56.984,2.866," 19,99","   34,59","   683,40"
