Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/aaz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:46:38 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,480.642,128.531," 3,74","   86,77","   324,49"
02.04,473.678,127.514," 3,71","   85,68","   318,28"
03.04,493.833,133.423," 3,70","   87,53","   323,95"
04.04,419.481,110.850," 3,78","   80,21","   303,52"
05.04,464.012,125.543," 3,70","   73,50","   271,65"
06.04,576.047,138.426," 4,16","   75,00","   312,12"
07.04,476.858,124.601," 3,83","   84,97","   325,19"
08.04,494.151,119.398," 4,14","   75,87","   314,02"
09.04,420.530,108.308," 3,88","   77,71","   301,73"
10.04,405.927,97.804," 4,15","   70,86","   294,08"
11.04,392.911,104.279," 3,77","   72,98","   274,97"
12.04,400.077,104.534," 3,83","   71,41","   273,29"
13.04,450.659,116.492," 3,87","   71,15","   275,26"
14.04,557.460,143.790," 3,88","   73,22","   283,86"
15.04,468.446,126.369," 3,71","   79,98","   296,50"
16.04,467.083,128.730," 3,63","   91,23","   331,02"
17.04,386.450,108.441," 3,56","   83,69","   298,26"
18.04,312.235,95.824," 3,26","   87,18","   284,06"
19.04,313.725,95.048," 3,30","   83,13","   274,40"
20.04,440.386,121.222," 3,63","   81,92","   297,62"
21.04,531.189,122.202," 4,35","   64,11","   278,66"
22.04,442.982,113.312," 3,91","   77,56","   303,21"
23.04,401.735,107.696," 3,73","   77,06","   287,47"
24.04,401.932,109.599," 3,67","   77,41","   283,89"
25.04,336.295,93.999," 3,58","   75,77","   271,09"
26.04,422.171,98.218," 4,30","   61,17","   262,93"
27.04,542.284,121.471," 4,46","   63,64","   284,10"
28.04,564.431,130.278," 4,33","   69,47","   300,97"
29.04,505.507,139.278," 3,63","   87,07","   316,03"
30.04,491.430,126.257," 3,89","   73,40","   285,68"
?,13.534.547,3.521.437," 115,08","   2320,66","   8852,32"
?,451.152,117.381," 3,84","   77,36","   295,08"
