Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/bat2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:46:43 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,11.808,3.719," 3,18","   88,53","   281,09"
02.04,11.511,3.688," 3,12","   84,06","   262,38"
03.04,12.557,3.507," 3,58","   84,26","   301,71"
04.04,57.103,10.809," 5,28","   23,12","   122,12"
05.04,16.596,4.466," 3,72","   51,49","   191,35"
06.04,14.554,3.732," 3,90","   72,21","   281,62"
07.04,16.273,5.867," 2,77","   80,34","   222,84"
08.04,12.256,3.791," 3,23","   80,67","   260,79"
09.04,9.799,2.924," 3,35","   83,00","   278,16"
10.04,10.204,2.450," 4,16","   64,07","   266,83"
11.04,9.273,2.420," 3,83","   76,22","   292,07"
12.04,11.122,3.450," 3,22","   72,92","   235,09"
13.04,11.312,3.532," 3,20","   80,62","   258,19"
14.04,12.040,3.252," 3,70","   75,26","   278,66"
15.04,10.982,3.154," 3,48","   84,06","   292,70"
16.04,11.198,3.413," 3,28","   84,25","   276,42"
17.04,9.378,2.811," 3,34","   86,90","   289,90"
18.04,7.931,2.287," 3,47","   81,12","   281,31"
19.04,8.503,2.104," 4,04","   67,72","   273,68"
20.04,14.942,3.676," 4,06","   59,36","   241,29"
21.04,12.273,3.038," 4,04","   70,15","   283,39"
22.04,11.333,2.806," 4,04","   76,54","   309,14"
23.04,8.944,2.580," 3,47","   89,17","   309,12"
24.04,10.225,2.911," 3,51","   77,62","   272,65"
25.04,13.574,3.302," 4,11","   54,73","   224,99"
26.04,18.137,2.746," 6,60","   38,33","   253,19"
27.04,13.827,2.871," 4,82","   64,37","   310,01"
28.04,12.347,2.935," 4,21","   77,87","   327,57"
29.04,10.216,2.843," 3,59","   87,74","   315,27"
30.04,10.169,2.937," 3,46","   84,93","   294,05"
?,400.387,104.021," 113,78","   2201,64","   8087,58"
?,13.346,3.467," 3,79","   73,39","   269,59"
