Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/blz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:46:48 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,1,1," 1,00","   0,00","   0,00"
02.04,2,1," 2,00","   0,00","   0,00"
03.04,1,1," 1,00","   0,00","   0,00"
04.04,1,1," 1,00","   0,00","   0,00"
05.04,0,0," 0,00","   0,00","   0,00"
06.04,1,1," 1,00","   0,00","   0,00"
07.04,0,0," 0,00","   0,00","   0,00"
08.04,0,0," 0,00","   0,00","   0,00"
09.04,1,1," 1,00","   0,00","   0,00"
10.04,1,1," 1,00","   0,00","   0,00"
11.04,0,0," 0,00","   0,00","   0,00"
12.04,0,0," 0,00","   0,00","   0,00"
13.04,2,2," 1,00","   0,00","   0,00"
14.04,9,1," 9,00","   34,71","   312,43"
15.04,0,0," 0,00","   0,00","   0,00"
16.04,2,1," 2,00","   2,00","   4,00"
17.04,0,0," 0,00","   0,00","   0,00"
18.04,0,0," 0,00","   0,00","   0,00"
19.04,0,0," 0,00","   0,00","   0,00"
20.04,7,1," 7,00","   206,67","   1446,67"
21.04,0,0," 0,00","   0,00","   0,00"
22.04,0,0," 0,00","   0,00","   0,00"
23.04,4,2," 2,00","   13,00","   26,00"
24.04,0,0," 0,00","   0,00","   0,00"
25.04,0,0," 0,00","   0,00","   0,00"
26.04,0,0," 0,00","   0,00","   0,00"
27.04,0,0," 0,00","   0,00","   0,00"
28.04,12,1," 12,00","   277,20","   3326,40"
29.04,4,2," 2,00","   99,50","   199,00"
30.04,4,1," 4,00","   165,00","   660,00"
?,52,18," 47,00","   798,08","   5974,50"
?,2,1," 1,57","   26,60","   199,15"
