Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/t...at/live, /nwn/apps/live/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:40:13 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,5.579,1.590," 3,51","   114,39","   401,37"
02.04,5.478,1.554," 3,53","   106,85","   376,65"
03.04,5.493,1.508," 3,64","   112,46","   409,66"
04.04,5.521,1.481," 3,73","   99,63","   371,41"
05.04,4.988,1.486," 3,36","   103,45","   347,25"
06.04,5.543,1.632," 3,40","   113,94","   386,98"
07.04,4.851,1.479," 3,28","   115,91","   380,19"
08.04,5.983,1.636," 3,66","   114,31","   418,03"
09.04,4.787,1.418," 3,38","   103,59","   349,72"
10.04,5.312,1.517," 3,50","   104,63","   366,39"
11.04,4.947,1.379," 3,59","   106,12","   380,68"
12.04,5.268,1.484," 3,55","   105,77","   375,49"
13.04,5.570,1.554," 3,58","   106,81","   382,84"
14.04,4.750,1.416," 3,35","   115,52","   387,52"
15.04,5.073,1.526," 3,32","   116,21","   386,31"
16.04,5.129,1.520," 3,37","   123,93","   418,17"
17.04,4.897,1.414," 3,46","   104,19","   360,83"
18.04,3.541,1.169," 3,03","   118,57","   359,16"
19.04,4.208,1.300," 3,24","   104,91","   339,60"
20.04,4.787,1.278," 3,75","   99,98","   374,50"
21.04,4.932,1.402," 3,52","   103,39","   363,72"
22.04,4.691,1.382," 3,39","   119,14","   404,39"
23.04,3.633,1.204," 3,02","   126,89","   382,89"
24.04,4.444,1.288," 3,45","   114,67","   395,65"
25.04,4.696,1.244," 3,77","   93,07","   351,35"
26.04,5.194,1.343," 3,87","   92,02","   355,88"
27.04,5.028,1.357," 3,71","   107,87","   399,69"
28.04,5.161,1.440," 3,58","   104,51","   374,55"
29.04,4.632,1.382," 3,35","   122,46","   410,45"
30.04,4.187,1.305," 3,21","   121,06","   388,42"
?,148.303,42.688," 104,09","   3296,26","   11399,72"
?,4.943,1.423," 3,47","   109,88","   379,99"
