Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/bzb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:46:54 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,172.016,44.881," 3,83","   83,13","   318,62"
02.04,176.368,52.641," 3,35","   88,58","   296,79"
03.04,175.960,58.964," 2,98","   102,56","   306,06"
04.04,127.562,41.982," 3,04","   102,64","   311,86"
05.04,128.787,40.764," 3,16","   95,07","   300,36"
06.04,159.981,45.623," 3,51","   92,66","   324,93"
07.04,153.470,41.763," 3,67","   87,39","   321,12"
08.04,184.679,41.899," 4,41","   69,67","   307,09"
09.04,154.614,37.689," 4,10","   75,24","   308,65"
10.04,134.032,32.820," 4,08","   78,89","   322,16"
11.04,110.303,30.683," 3,59","   89,05","   320,11"
12.04,105.037,31.015," 3,39","   86,09","   291,56"
13.04,115.892,35.203," 3,29","   90,55","   298,09"
14.04,146.160,42.222," 3,46","   94,93","   328,63"
15.04,136.227,40.981," 3,32","   95,45","   317,30"
16.04,153.340,42.802," 3,58","   100,21","   359,00"
17.04,146.805,42.030," 3,49","   86,84","   303,30"
18.04,108.517,36.189," 3,00","   94,65","   283,82"
19.04,107.220,33.835," 3,17","   91,00","   288,37"
20.04,144.140,44.384," 3,25","   96,30","   312,73"
21.04,188.270,43.463," 4,33","   64,63","   279,97"
22.04,152.500,41.116," 3,71","   84,13","   312,03"
23.04,144.977,40.286," 3,60","   82,93","   298,45"
24.04,145.046,42.637," 3,40","   87,17","   296,54"
25.04,97.182,33.519," 2,90","   102,66","   297,64"
26.04,109.301,33.009," 3,31","   86,97","   287,98"
27.04,150.078,43.624," 3,44","   90,92","   312,77"
28.04,155.127,42.600," 3,64","   82,86","   301,72"
29.04,146.960,44.277," 3,32","   104,42","   346,59"
30.04,132.533,38.467," 3,45","   93,83","   323,27"
?,4.263.084,1.221.368," 104,79","   2681,39","   9277,50"
?,142.103,40.712," 3,49","   89,38","   309,25"
