Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/gtb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:47:00 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,19.021,4.382," 4,34","   58,50","   253,93"
02.04,13.630,3.453," 3,95","   65,54","   258,70"
03.04,14.189,3.340," 4,25","   67,65","   287,39"
04.04,10.412,2.700," 3,86","   74,03","   285,46"
05.04,9.965,2.658," 3,75","   72,34","   271,21"
06.04,12.868,3.051," 4,22","   62,74","   264,61"
07.04,12.679,3.304," 3,84","   66,81","   256,38"
08.04,15.948,3.087," 5,17","   47,24","   244,06"
09.04,10.761,2.718," 3,96","   63,37","   250,91"
10.04,10.225,3.087," 3,31","   59,29","   196,39"
11.04,9.034,2.540," 3,56","   64,19","   228,29"
12.04,10.602,2.613," 4,06","   60,33","   244,78"
13.04,14.133,3.229," 4,38","   51,90","   227,14"
14.04,23.565,3.512," 6,71","   37,17","   249,43"
15.04,14.644,3.386," 4,32","   54,07","   233,83"
16.04,12.436,3.163," 3,93","   66,06","   259,74"
17.04,13.286,3.592," 3,70","   65,58","   242,57"
18.04,9.389,3.225," 2,91","   76,49","   222,68"
19.04,7.701,2.425," 3,18","   75,67","   240,31"
20.04,10.846,3.336," 3,25","   76,96","   250,20"
21.04,12.715,3.263," 3,90","   62,24","   242,53"
22.04,9.580,2.958," 3,24","   79,47","   257,38"
23.04,8.785,2.607," 3,37","   72,69","   244,94"
24.04,8.297,2.523," 3,29","   73,77","   242,59"
25.04,7.265,2.138," 3,40","   78,25","   265,89"
26.04,8.315,2.168," 3,84","   63,87","   244,96"
27.04,16.241,3.181," 5,11","   47,10","   240,49"
28.04,13.626,2.862," 4,76","   60,79","   289,43"
29.04,30.814,3.451," 8,93","   28,49","   254,41"
30.04,14.270,3.158," 4,52","   63,27","   285,92"
?,385.242,91.110," 124,97","   1895,86","   7536,55"
?,12.841,3.037," 4,17","   63,20","   251,22"
