Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/liz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:47:05 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,16.848,6.117," 2,75","   76,09","   209,59"
02.04,16.528,5.875," 2,81","   74,24","   208,86"
03.04,15.111,5.292," 2,86","   79,19","   226,13"
04.04,13.481,4.358," 3,09","   76,20","   235,72"
05.04,13.549,4.295," 3,15","   71,45","   225,39"
06.04,17.067,5.341," 3,20","   70,72","   225,98"
07.04,15.469,4.932," 3,14","   76,06","   238,56"
08.04,15.202,5.103," 2,98","   71,96","   214,39"
09.04,16.290,5.532," 2,94","   68,45","   201,58"
10.04,13.304,4.239," 3,14","   68,02","   213,46"
11.04,13.530,4.253," 3,18","   71,65","   227,94"
12.04,12.784,4.127," 3,10","   67,39","   208,74"
13.04,14.414,4.449," 3,24","   68,47","   221,83"
14.04,16.524,5.332," 3,10","   71,94","   222,93"
15.04,16.795,6.150," 2,73","   74,79","   204,25"
16.04,16.821,6.224," 2,70","   77,11","   208,40"
17.04,15.432,5.349," 2,89","   67,23","   193,96"
18.04,15.874,4.783," 3,32","   59,93","   198,90"
19.04,14.246,4.646," 3,07","   63,29","   194,08"
20.04,16.039,5.765," 2,78","   73,68","   205,00"
21.04,17.701,5.218," 3,39","   58,68","   199,04"
22.04,14.878,5.161," 2,88","   68,97","   198,83"
23.04,12.905,4.989," 2,59","   73,50","   190,12"
24.04,16.559,4.884," 3,39","   54,77","   185,71"
25.04,12.259,4.008," 3,06","   68,39","   209,19"
26.04,11.496,4.068," 2,83","   74,58","   210,77"
27.04,14.953,5.194," 2,88","   79,31","   228,32"
28.04,14.566,5.195," 2,80","   76,11","   213,40"
29.04,14.594,5.060," 2,88","   84,08","   242,51"
30.04,16.918,5.440," 3,11","   62,61","   194,71"
?,452.137,151.379," 89,98","   2128,87","   6358,26"
?,15.071,5.046," 3,00","   70,96","   211,94"
