Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/ot2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:47:12 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,25.356,7.386," 3,43","   107,74","   369,86"
02.04,26.328,7.639," 3,45","   98,08","   338,03"
03.04,26.913,7.619," 3,53","   98,93","   349,44"
04.04,30.743,7.316," 4,20","   72,44","   304,39"
05.04,26.811,6.348," 4,22","   70,98","   299,77"
06.04,32.699,7.571," 4,32","   75,39","   325,61"
07.04,30.996,7.912," 3,92","   85,09","   333,36"
08.04,34.457,7.169," 4,81","   69,96","   336,26"
09.04,33.556,7.169," 4,68","   67,58","   316,31"
10.04,25.235,5.971," 4,23","   77,90","   329,24"
11.04,20.398,5.258," 3,88","   86,82","   336,82"
12.04,22.255,5.006," 4,45","   68,73","   305,57"
13.04,25.067,6.405," 3,91","   77,00","   301,37"
14.04,27.094,7.177," 3,78","   89,18","   336,65"
15.04,23.104,6.661," 3,47","   95,96","   332,85"
16.04,26.260,7.052," 3,72","   91,35","   340,17"
17.04,28.888,7.116," 4,06","   72,74","   295,31"
18.04,21.234,5.832," 3,64","   92,05","   335,16"
19.04,16.698,4.979," 3,35","   92,34","   309,69"
20.04,23.204,6.562," 3,54","   97,07","   343,26"
21.04,27.851,6.786," 4,10","   75,91","   311,53"
22.04,23.441,6.377," 3,68","   99,45","   365,57"
23.04,20.567,6.350," 3,24","   106,05","   343,48"
24.04,19.919,6.087," 3,27","   102,49","   335,40"
25.04,16.808,5.336," 3,15","   102,52","   322,94"
26.04,17.006,5.453," 3,12","   101,46","   316,41"
27.04,32.813,7.855," 4,18","   73,13","   305,50"
28.04,29.403,8.086," 3,64","   80,09","   291,22"
29.04,27.028,7.915," 3,41","   101,13","   345,34"
30.04,26.690,8.402," 3,18","   104,12","   330,73"
?,768.822,202.795," 113,55","   2633,68","   9807,21"
?,25.627,6.760," 3,78","   87,79","   326,91"
