Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/saw,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:47:17 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,553,459," 1,20","   189,31","   228,07"
02.04,786,527," 1,49","   125,51","   187,20"
03.04,762,660," 1,15","   207,18","   239,20"
04.04,5.962,3.244," 1,84","   156,98","   288,52"
05.04,3.637,2.043," 1,78","   130,26","   231,90"
06.04,926,674," 1,37","   188,08","   258,40"
07.04,651,537," 1,21","   196,60","   238,33"
08.04,603,521," 1,16","   191,30","   221,41"
09.04,591,525," 1,13","   221,96","   249,86"
10.04,685,553," 1,24","   184,50","   228,54"
11.04,2.975,1.738," 1,71","   167,27","   286,33"
12.04,1.792,1.291," 1,39","   169,48","   235,25"
13.04,1.087,937," 1,16","   229,06","   265,73"
14.04,811,671," 1,21","   168,58","   203,75"
15.04,640,559," 1,14","   259,00","   296,53"
16.04,668,529," 1,26","   210,94","   266,36"
17.04,876,774," 1,13","   277,65","   314,24"
18.04,4.502,3.147," 1,43","   285,51","   408,44"
19.04,3.029,2.422," 1,25","   222,20","   277,89"
20.04,1.257,1.044," 1,20","   191,99","   231,16"
21.04,1.343,1.141," 1,18","   219,45","   258,30"
22.04,838,703," 1,19","   211,52","   252,14"
23.04,648,569," 1,14","   181,38","   206,57"
24.04,718,572," 1,26","   223,03","   279,95"
25.04,4.046,2.359," 1,72","   140,89","   241,65"
26.04,2.291,1.851," 1,24","   173,41","   214,64"
27.04,1.240,967," 1,28","   191,82","   245,97"
28.04,810,671," 1,21","   207,75","   250,78"
29.04,724,602," 1,20","   261,86","   314,93"
30.04,653,570," 1,15","   263,96","   302,39"
?,46.104,32.860," 39,02","   6048,45","   7724,46"
?,1.537,1.095," 1,30","   201,62","   257,48"
