Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
Filter: /live/soz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:47:22 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,88.106,21.766," 4,05","   80,17","   324,51"
02.04,77.084,21.363," 3,61","   89,52","   323,01"
03.04,84.891,20.958," 4,05","   81,07","   328,39"
04.04,69.397,18.027," 3,85","   79,34","   305,43"
05.04,69.465,17.075," 4,07","   68,90","   280,28"
06.04,95.509,21.207," 4,50","   68,82","   309,96"
07.04,87.442,21.362," 4,09","   73,93","   302,61"
08.04,86.116,19.438," 4,43","   68,87","   305,11"
09.04,79.889,19.393," 4,12","   71,84","   295,96"
10.04,62.772,15.875," 3,95","   70,31","   278,01"
11.04,65.824,15.972," 4,12","   66,68","   274,82"
12.04,61.243,15.329," 4,00","   65,94","   263,43"
13.04,64.679,16.576," 3,90","   71,74","   279,92"
14.04,84.807,20.353," 4,17","   73,42","   305,91"
15.04,76.437,19.870," 3,85","   74,73","   287,46"
16.04,79.556,19.590," 4,06","   78,74","   319,78"
17.04,83.986,17.987," 4,67","   60,78","   283,79"
18.04,54.964,16.030," 3,43","   81,52","   279,52"
19.04,53.206,17.941," 2,97","   79,87","   236,87"
20.04,74.127,20.948," 3,54","   82,29","   291,18"
21.04,98.446,19.523," 5,04","   55,35","   279,11"
22.04,69.865,18.125," 3,85","   77,46","   298,57"
23.04,61.400,17.766," 3,46","   86,05","   297,38"
24.04,60.094,17.827," 3,37","   88,67","   298,90"
25.04,46.897,14.045," 3,34","   80,39","   268,41"
26.04,55.663,16.492," 3,38","   74,54","   251,58"
27.04,107.145,19.722," 5,43","   52,01","   282,55"
28.04,129.310,22.682," 5,70","   48,85","   278,50"
29.04,105.447,21.249," 4,96","   60,76","   301,51"
30.04,82.830,22.005," 3,76","   84,09","   316,52"
?,2.316.597,566.496," 121,72","   2196,62","   8748,98"
?,77.220,18.883," 4,06","   73,22","   291,63"
