Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/p...paper, /nwn/apps/epaper/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:40:31 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,15.513,797," 19,46","   36,74","   715,08"
02.04,12.795,646," 19,81","   43,24","   856,36"
03.04,13.563,634," 21,39","   39,79","   851,28"
04.04,20.710,685," 30,23","   38,36","   1159,79"
05.04,4.725,179," 26,40","   28,91","   763,23"
06.04,13.234,673," 19,66","   43,16","   848,71"
07.04,14.106,680," 20,74","   43,05","   893,07"
08.04,14.710,814," 18,07","   42,02","   759,44"
09.04,15.605,636," 24,54","   37,89","   929,77"
10.04,2.764,200," 13,82","   28,55","   394,54"
11.04,20.564,725," 28,36","   34,37","   974,83"
12.04,4.647,191," 24,33","   24,52","   596,65"
13.04,2.254,165," 13,66","   32,16","   439,39"
14.04,14.592,740," 19,72","   43,85","   864,64"
15.04,15.706,700," 22,44","   40,20","   901,87"
16.04,14.908,675," 22,09","   38,84","   857,87"
17.04,13.941,699," 19,94","   40,05","   798,75"
18.04,19.727,695," 28,38","   34,22","   971,42"
19.04,3.843,158," 24,32","   28,79","   700,16"
20.04,13.310,707," 18,83","   39,60","   745,59"
21.04,12.461,656," 19,00","   41,74","   792,89"
22.04,13.875,680," 20,40","   40,49","   826,09"
23.04,14.383,675," 21,31","   38,04","   810,60"
24.04,16.570,662," 25,03","   31,32","   784,01"
25.04,19.497,666," 29,27","   35,78","   1047,32"
26.04,4.512,149," 30,28","   26,03","   788,16"
27.04,13.507,726," 18,60","   45,09","   838,84"
28.04,15.357,719," 21,36","   40,11","   856,63"
29.04,14.232,687," 20,72","   40,69","   843,03"
30.04,16.000,687," 23,29","   36,35","   846,61"
?,391.611,17.706," 665,47","   1113,96","   24456,64"
?,13.054,590," 22,18","   37,13","   815,22"
