Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...lz/live, /nwn/apps/live/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:41:00 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,69.547,22.584," 3,08","   131,41","   404,66"
02.04,66.668,21.584," 3,09","   129,26","   399,26"
03.04,72.517,21.932," 3,31","   129,84","   429,33"
04.04,63.319,20.822," 3,04","   134,92","   410,27"
05.04,61.288,20.924," 2,93","   132,27","   387,44"
06.04,64.042,21.627," 2,96","   130,89","   387,59"
07.04,64.214,21.054," 3,05","   131,05","   399,68"
08.04,67.179,21.661," 3,10","   130,05","   403,32"
09.04,64.491,20.889," 3,09","   120,95","   373,40"
10.04,66.382,20.736," 3,20","   122,53","   392,25"
11.04,59.638,20.084," 2,97","   132,50","   393,44"
12.04,58.148,19.936," 2,92","   133,22","   388,56"
13.04,65.724,21.868," 3,01","   127,78","   384,03"
14.04,58.409,19.966," 2,93","   130,59","   382,04"
15.04,57.096,19.923," 2,87","   131,89","   377,97"
16.04,62.912,21.045," 2,99","   137,16","   410,03"
17.04,60.518,19.059," 3,18","   121,41","   385,53"
18.04,51.656,18.185," 2,84","   134,80","   382,92"
19.04,53.701,18.821," 2,85","   127,12","   362,71"
20.04,57.373,19.397," 2,96","   132,84","   392,91"
21.04,58.109,18.696," 3,11","   120,58","   374,78"
22.04,59.886,19.243," 3,11","   130,13","   404,98"
23.04,57.016,18.080," 3,15","   114,69","   361,69"
24.04,58.429,18.469," 3,16","   128,17","   405,47"
25.04,50.166,17.052," 2,94","   131,14","   385,82"
26.04,60.223,19.536," 3,08","   122,29","   376,97"
27.04,59.409,19.234," 3,09","   128,99","   398,42"
28.04,57.398,18.044," 3,18","   121,79","   387,40"
29.04,63.445,20.048," 3,16","   136,34","   431,46"
30.04,55.604,18.145," 3,06","   127,56","   390,90"
?,1.824.507,598.644," 91,41","   3864,15","   11765,24"
?,60.817,19.955," 3,05","   128,80","   392,17"
