Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...paper, /nwn/apps/epaper/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:41:29 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,58.533,3.474," 16,85","   38,26","   644,61"
02.04,50.075,3.461," 14,47","   43,13","   624,05"
03.04,55.048,3.499," 15,73","   39,54","   622,13"
04.04,87.351,3.700," 23,61","   36,17","   853,95"
05.04,21.114,869," 24,30","   30,90","   750,75"
06.04,52.516,3.874," 13,56","   41,84","   567,18"
07.04,50.598,3.475," 14,56","   44,19","   643,46"
08.04,61.636,4.711," 13,08","   37,05","   484,69"
09.04,62.426,3.223," 19,37","   35,12","   680,31"
10.04,10.487,938," 11,18","   33,29","   372,16"
11.04,91.074,3.897," 23,37","   33,23","   776,54"
12.04,15.818,762," 20,76","   31,36","   650,99"
13.04,11.890,771," 15,42","   30,65","   472,62"
14.04,57.080,3.939," 14,49","   40,94","   593,25"
15.04,59.733,3.506," 17,04","   35,91","   611,78"
16.04,54.283,3.409," 15,92","   37,73","   600,71"
17.04,54.507,3.462," 15,74","   37,65","   592,75"
18.04,91.387,3.714," 24,61","   30,15","   741,95"
19.04,17.437,714," 24,42","   32,57","   795,46"
20.04,51.326,3.703," 13,86","   43,41","   601,71"
21.04,49.923,3.443," 14,50","   40,96","   593,88"
22.04,52.542,3.354," 15,67","   38,28","   599,71"
23.04,55.428,3.466," 15,99","   40,53","   648,18"
24.04,53.954,3.322," 16,24","   37,43","   607,99"
25.04,84.412,3.584," 23,55","   29,93","   704,97"
26.04,19.355,795," 24,35","   31,77","   773,44"
27.04,52.372,3.751," 13,96","   44,73","   624,52"
28.04,58.117,3.549," 16,38","   37,18","   608,78"
29.04,59.965,3.484," 17,21","   34,12","   587,21"
30.04,59.758,3.486," 17,14","   37,40","   641,07"
?,1.560.145,91.335," 527,33","   1105,41","   19070,80"
?,52.005,3.044," 17,58","   36,85","   635,69"
