Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/p...zb/live, /nwn/apps/live/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:42:07 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,15.337,5.137," 2,99","   130,79","   390,48"
02.04,15.253,4.891," 3,12","   128,86","   401,86"
03.04,16.159,5.111," 3,16","   134,49","   425,19"
04.04,13.642,4.634," 2,94","   131,84","   388,12"
05.04,13.151,4.619," 2,85","   135,40","   385,51"
06.04,13.955,4.798," 2,91","   135,23","   393,32"
07.04,13.951,4.746," 2,94","   132,28","   388,85"
08.04,14.246,4.912," 2,90","   134,35","   389,65"
09.04,14.379,4.734," 3,04","   121,82","   370,02"
10.04,15.193,4.831," 3,14","   122,99","   386,79"
11.04,12.504,4.408," 2,84","   133,99","   380,07"
12.04,12.419,4.375," 2,84","   129,30","   367,02"
13.04,14.080,4.865," 2,89","   127,33","   368,52"
14.04,13.335,4.507," 2,96","   127,15","   376,19"
15.04,12.436,4.411," 2,82","   131,82","   371,64"
16.04,13.541,4.662," 2,90","   136,01","   395,05"
17.04,13.122,4.281," 3,07","   122,25","   374,71"
18.04,11.927,4.161," 2,87","   127,64","   365,87"
19.04,11.520,4.274," 2,70","   130,39","   351,44"
20.04,12.257,4.409," 2,78","   136,24","   378,75"
21.04,12.697,4.165," 3,05","   120,90","   368,56"
22.04,13.109,4.399," 2,98","   131,41","   391,59"
23.04,12.407,4.042," 3,07","   115,06","   353,19"
24.04,12.874,4.349," 2,96","   133,30","   394,61"
25.04,10.750,3.953," 2,72","   130,89","   355,95"
26.04,12.734,4.380," 2,91","   129,32","   375,98"
27.04,13.039,4.346," 3,00","   129,86","   389,61"
28.04,12.641,4.068," 3,11","   112,24","   348,77"
29.04,13.426,4.334," 3,10","   132,04","   409,04"
30.04,12.289,4.124," 2,98","   129,39","   385,56"
?,398.373,134.926," 88,52","   3874,58","   11421,93"
?,13.279,4.498," 2,95","   129,15","   380,73"
