Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/p...paper, /nwn/apps/epaper/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:42:31 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,32,20," 1,60","   24,58","   39,33"
02.04,97,16," 6,06","   12,60","   76,42"
03.04,32,15," 2,13","   318,00","   678,40"
04.04,896,202," 4,44","   20,34","   90,24"
05.04,158,22," 7,18","   27,99","   200,99"
06.04,28,20," 1,40","   198,22","   277,51"
07.04,35,14," 2,50","   97,27","   243,18"
08.04,275,18," 15,28","   29,77","   454,87"
09.04,54,6," 9,00","   54,13","   487,15"
10.04,60,23," 2,61","   39,59","   103,29"
11.04,937,207," 4,53","   34,06","   154,20"
12.04,83,24," 3,46","   55,67","   192,51"
13.04,113,28," 4,04","   77,04","   310,89"
14.04,21,12," 1,75","   8,67","   15,17"
15.04,99,16," 6,19","   45,71","   282,84"
16.04,84,21," 4,00","   15,83","   63,31"
17.04,16,14," 1,14","   10,50","   12,00"
18.04,610,188," 3,24","   29,22","   94,80"
19.04,293,22," 13,32","   24,91","   331,73"
20.04,452,17," 26,59","   28,66","   761,91"
21.04,92,23," 4,00","   28,87","   115,46"
22.04,14,12," 1,17","   25,50","   29,75"
23.04,22,12," 1,83","   239,60","   439,27"
24.04,147,18," 8,17","   21,95","   179,22"
25.04,878,190," 4,62","   31,16","   143,97"
26.04,371,27," 13,74","   17,04","   234,19"
27.04,261,14," 18,64","   20,13","   375,28"
28.04,30,13," 2,31","   46,83","   108,08"
29.04,117,13," 9,00","   9,01","   81,09"
30.04,22,10," 2,20","   85,75","   188,65"
?,6.329,1.237," 186,13","   1678,59","   6765,69"
?,211,41," 6,20","   55,95","   225,52"
