Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/live, /nwn/apps/live/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:42:59 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,5.244,1.530," 3,43","   115,92","   397,32"
02.04,4.794,1.531," 3,13","   112,66","   352,77"
03.04,5.552,1.488," 3,73","   116,21","   433,61"
04.04,4.768,1.392," 3,43","   106,89","   366,14"
05.04,4.534,1.520," 2,98","   115,49","   344,51"
06.04,4.653,1.482," 3,14","   111,57","   350,30"
07.04,4.790,1.513," 3,17","   111,46","   352,89"
08.04,4.920,1.503," 3,27","   112,55","   368,44"
09.04,4.368,1.450," 3,01","   124,92","   376,32"
10.04,4.467,1.453," 3,07","   107,85","   331,57"
11.04,4.309,1.356," 3,18","   112,49","   357,46"
12.04,4.433,1.440," 3,08","   111,81","   344,20"
13.04,5.795,1.634," 3,55","   107,47","   381,16"
14.04,5.980,1.537," 3,89","   79,35","   308,72"
15.04,4.640,1.423," 3,26","   107,23","   349,66"
16.04,4.479,1.460," 3,07","   127,58","   391,39"
17.04,4.610,1.281," 3,60","   103,69","   373,16"
18.04,3.876,1.254," 3,09","   128,63","   397,59"
19.04,3.735,1.256," 2,97","   101,45","   301,69"
20.04,4.039,1.340," 3,01","   116,92","   352,41"
21.04,4.384,1.311," 3,34","   112,93","   377,63"
22.04,3.871,1.294," 2,99","   132,70","   396,97"
23.04,3.506,1.171," 2,99","   118,86","   355,88"
24.04,3.659,1.194," 3,06","   118,50","   363,13"
25.04,3.641,1.256," 2,90","   109,11","   316,29"
26.04,4.737,1.465," 3,23","   108,21","   349,88"
27.04,4.842,1.392," 3,48","   106,13","   369,16"
28.04,4.328,1.358," 3,19","   108,63","   346,20"
29.04,5.751,1.414," 4,07","   86,18","   350,51"
30.04,4.538,1.315," 3,45","   116,25","   401,18"
?,137.243,42.013," 97,77","   3349,65","   10858,09"
?,4.575,1.400," 3,26","   111,66","   361,94"
