Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.04.2020 00:00:00 GMT - 01.05.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/android/t...paper, /nwn/apps/epaper/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.05.2020 05:43:16 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.04,10.544,460," 22,92","   36,23","   830,39"
02.04,7.545,423," 17,84","   47,39","   845,32"
03.04,8.951,457," 19,59","   40,02","   783,91"
04.04,13.776,465," 29,63","   32,96","   976,35"
05.04,3.915,131," 29,89","   32,51","   971,66"
06.04,7.897,458," 17,24","   36,10","   622,46"
07.04,7.865,446," 17,63","   43,83","   772,96"
08.04,9.962,445," 22,39","   34,05","   762,37"
09.04,10.269,450," 22,82","   32,20","   734,75"
10.04,2.273,139," 16,35","   25,73","   420,77"
11.04,14.308,468," 30,57","   29,00","   886,74"
12.04,2.761,107," 25,80","   35,88","   925,95"
13.04,2.341,143," 16,37","   27,31","   447,16"
14.04,9.091,498," 18,26","   37,53","   685,15"
15.04,9.648,465," 20,75","   34,79","   721,87"
16.04,8.681,447," 19,42","   33,92","   658,68"
17.04,8.558,448," 19,10","   40,25","   768,89"
18.04,14.368,461," 31,17","   28,46","   886,95"
19.04,2.791,101," 27,63","   31,91","   881,72"
20.04,8.034,453," 17,74","   38,67","   685,75"
21.04,7.999,430," 18,60","   42,40","   788,75"
22.04,8.691,463," 18,77","   37,77","   709,02"
23.04,8.792,435," 20,21","   36,20","   731,60"
24.04,8.552,431," 19,84","   34,03","   675,31"
25.04,14.021,461," 30,41","   26,15","   795,26"
26.04,2.050,91," 22,53","   36,52","   822,67"
27.04,8.655,469," 18,45","   40,87","   754,18"
28.04,8.501,446," 19,06","   37,73","   719,10"
29.04,10.846,468," 23,18","   32,37","   750,11"
30.04,10.743,470," 22,86","   35,00","   799,93"
?,252.428,11.629," 657,02","   1057,78","   22815,71"
?,8.414,388," 21,90","   35,26","   760,52"
