,0,1,2,3,4
AAZ APP-EPAPER,4378583.0,213544.0,637.28,972.8,20366.19
AAZ APP-LIVE,4671944.0,1434743.0,97.68,3446.77,11221.03
AAZ WEB,10531619.0,2829059.0,112.05,2324.89,8648.55
BAT APP-EPAPER,423157.0,17833.0,724.08,988.16,23546.02
BAT APP-LIVE,120686.0,35114.0,103.07,3269.48,11202.66
BAT WEB,345002.0,94240.0,112.45,2284.4,8462.26
BLZ APP-EPAPER,1606376.0,92153.0,550.86,1006.38,18109.38
BLZ APP-LIVE,1505458.0,503847.0,89.62,3722.91,11117.23
BLZ WEB,39.0,19.0,24.5,450.85,1874.7
BZB APP-EPAPER,4719.0,1140.0,144.33,2595.12,6239.19
BZB APP-LIVE,321326.0,111703.0,86.29,3766.95,10830.94
BZB WEB,3312356.0,956104.0,104.09,2760.82,9494.1
GTB APP-EPAPER,255463.0,11461.0,687.65,943.78,21376.24
GTB APP-LIVE,113866.0,36499.0,93.48,3203.54,9954.64
GTB WEB,282148.0,74033.0,115.47,2291.61,8700.37
LIZ APP-EPAPER,272242.0,16735.0,516.56,910.77,15347.47
LIZ APP-LIVE,157762.0,60620.0,78.05,3521.75,9151.73
LIZ WEB,358773.0,119029.0,90.38,2225.14,6671.99
OT APP-EPAPER,1061793.0,53188.0,615.5,915.85,18480.28
OT APP-LIVE,394503.0,132627.0,89.17,3115.74,9246.05
OT WEB,619885.0,176083.0,105.68,2952.89,10280.74
SAW APP-EPAPER,105525.0,7055.0,370.86,1005.83,10307.54
SAW LIVE,41490.0,29921.0,38.83,5695.4,7238.88
SOZ APP-EPAPER,1683051.0,84153.0,623.83,927.61,18918.07
SOZ APP-LIVE,989673.0,318198.0,93.28,3282.46,10202.37
SOZ WEB,1778557.0,458241.0,116.3,2245.37,8638.61
