Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...az/live, /nwn/apps/live/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:23:38 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,160.603,50.797," 3,16","   107,28","   339,19"
02.06,151.640,46.858," 3,24","   113,27","   366,57"
03.06,170.886,50.870," 3,36","   110,86","   372,42"
04.06,167.011,49.171," 3,40","   110,79","   376,29"
05.06,164.684,48.804," 3,37","   106,86","   360,59"
06.06,156.570,46.350," 3,38","   109,77","   370,79"
07.06,153.982,47.671," 3,23","   110,01","   355,36"
08.06,142.252,45.478," 3,13","   114,64","   358,60"
09.06,156.806,47.543," 3,30","   116,31","   383,63"
10.06,166.247,49.321," 3,37","   114,57","   386,18"
11.06,163.217,49.930," 3,27","   123,01","   402,12"
12.06,143.733,45.702," 3,15","   115,53","   363,36"
13.06,150.160,45.366," 3,31","   115,82","   383,37"
14.06,144.388,46.532," 3,10","   108,51","   336,71"
15.06,150.396,48.074," 3,13","   113,90","   356,34"
16.06,143.778,46.457," 3,09","   115,66","   357,95"
17.06,157.435,47.348," 3,33","   116,59","   387,68"
18.06,144.913,45.459," 3,19","   117,39","   374,21"
19.06,160.359,49.042," 3,27","   118,35","   386,98"
20.06,141.433,43.464," 3,25","   118,52","   385,67"
21.06,148.323,46.515," 3,19","   116,65","   371,97"
22.06,148.021,45.844," 3,23","   120,30","   388,41"
23.06,161.549,45.934," 3,52","   115,04","   404,60"
24.06,155.783,48.171," 3,23","   116,55","   376,92"
25.06,156.828,47.118," 3,33","   115,69","   385,05"
26.06,166.913,49.451," 3,38","   115,52","   389,93"
27.06,161.672,48.477," 3,34","   114,56","   382,06"
28.06,158.331,50.152," 3,16","   111,75","   352,79"
29.06,166.957,51.764," 3,23","   119,40","   385,11"
30.06,157.074,51.080," 3,08","   123,64","   380,19"
?,4.671.944,1.434.743," 97,68","   3446,77","   11221,03"
?,155.731,47.825," 3,26","   114,89","   374,03"
