Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...paper, /nwn/apps/epaper/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:24:51 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,26.684,1.715," 15,56","   28,03","   436,09"
02.06,146.130,8.854," 16,50","   32,54","   537,04"
03.06,155.656,8.193," 19,00","   33,87","   643,45"
04.06,149.180,8.059," 18,51","   36,94","   683,73"
05.06,184.892,8.107," 22,81","   29,01","   661,56"
06.06,225.729,8.643," 26,12","   31,68","   827,34"
07.06,60.716,2.000," 30,36","   30,38","   922,15"
08.06,134.204,8.528," 15,74","   34,03","   535,59"
09.06,143.074,7.966," 17,96","   35,01","   628,75"
10.06,171.238,8.093," 21,16","   30,71","   649,68"
11.06,148.108,8.133," 18,21","   37,64","   685,42"
12.06,151.156,7.855," 19,24","   32,85","   632,15"
13.06,234.240,8.345," 28,07","   29,07","   815,97"
14.06,58.164,2.053," 28,33","   29,28","   829,60"
15.06,152.338,8.797," 17,32","   32,27","   558,91"
16.06,142.713,8.063," 17,70","   33,88","   599,62"
17.06,162.893,8.126," 20,05","   36,26","   726,92"
18.06,158.533,7.999," 19,82","   32,15","   637,21"
19.06,172.609,7.928," 21,77","   29,67","   646,07"
20.06,233.517,7.291," 32,03","   27,00","   864,75"
21.06,55.384,1.865," 29,70","   27,55","   818,20"
22.06,136.268,8.582," 15,88","   40,21","   638,52"
23.06,156.439,7.929," 19,73","   34,63","   683,27"
24.06,145.918,7.828," 18,64","   34,99","   652,17"
25.06,154.191,7.958," 19,38","   34,38","   666,21"
26.06,166.685,7.890," 21,13","   31,35","   662,32"
27.06,209.138,8.078," 25,89","   31,09","   805,03"
28.06,48.802,1.912," 25,52","   28,16","   718,84"
29.06,142.877,8.665," 16,49","   33,66","   554,97"
30.06,151.107,8.089," 18,68","   34,51","   644,68"
?,4.378.583,213.544," 637,28","   972,80","   20366,19"
?,145.953,7.118," 21,24","   32,43","   678,87"
