Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/p...iz/live, /nwn/apps/live/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:44:34 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,5.546,2.133," 2,60","   111,89","   290,91"
02.06,4.966,2.018," 2,46","   112,77","   277,52"
03.06,6.127,2.272," 2,70","   111,42","   300,46"
04.06,5.072,2.062," 2,46","   115,35","   283,72"
05.06,4.863,1.964," 2,48","   127,65","   316,06"
06.06,4.917,1.961," 2,51","   138,13","   346,35"
07.06,5.121,2.038," 2,51","   130,76","   328,56"
08.06,4.676,1.873," 2,50","   115,50","   288,34"
09.06,4.787,1.977," 2,42","   112,73","   272,95"
10.06,5.672,2.080," 2,73","   111,35","   303,65"
11.06,5.830,2.036," 2,86","   122,64","   351,19"
12.06,5.717,2.076," 2,75","   112,37","   309,45"
13.06,5.042,1.961," 2,57","   124,58","   320,30"
14.06,5.234,1.954," 2,68","   107,00","   286,62"
15.06,5.209,1.940," 2,69","   109,12","   292,99"
16.06,5.502,2.014," 2,73","   120,01","   327,85"
17.06,5.560,1.982," 2,81","   110,18","   309,08"
18.06,5.097,1.896," 2,69","   115,27","   309,88"
19.06,5.619,2.048," 2,74","   112,72","   309,27"
20.06,5.049,1.893," 2,67","   114,91","   306,48"
21.06,4.923,1.945," 2,53","   114,20","   289,06"
22.06,5.067,1.918," 2,64","   121,01","   319,68"
23.06,4.576,1.832," 2,50","   122,62","   306,28"
24.06,6.078,2.158," 2,82","   118,70","   334,31"
25.06,4.992,1.971," 2,53","   113,66","   287,88"
26.06,4.761,1.896," 2,51","   114,61","   287,79"
27.06,5.856,2.146," 2,73","   111,58","   304,47"
28.06,5.991,2.406," 2,49","   118,48","   295,01"
29.06,5.225,2.206," 2,37","   130,76","   309,72"
30.06,4.687,1.964," 2,39","   119,80","   285,90"
?,157.762,60.620," 78,05","   3521,75","   9151,73"
?,5.259,2.021," 2,60","   117,39","   305,06"
