Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/t...paper, /nwn/apps/epaper/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:45:47 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,1.514,109," 13,89","   25,28","   351,08"
02.06,9.475,707," 13,40","   29,32","   392,88"
03.06,8.624,622," 13,86","   31,09","   431,11"
04.06,9.477,629," 15,07","   29,73","   447,86"
05.06,8.768,614," 14,28","   30,62","   437,21"
06.06,16.156,678," 23,83","   27,53","   655,94"
07.06,4.617,166," 27,81","   24,96","   694,22"
08.06,8.083,652," 12,40","   30,60","   379,32"
09.06,8.297,609," 13,62","   31,62","   430,82"
10.06,8.693,640," 13,58","   31,80","   431,92"
11.06,9.721,636," 15,28","   31,62","   483,26"
12.06,9.523,655," 14,54","   34,47","   501,19"
13.06,16.796,680," 24,70","   26,04","   643,25"
14.06,4.359,161," 27,07","   24,36","   659,42"
15.06,8.204,705," 11,64","   33,78","   393,15"
16.06,8.330,627," 13,29","   30,97","   411,40"
17.06,8.497,612," 13,88","   35,96","   499,34"
18.06,10.530,616," 17,09","   27,40","   468,38"
19.06,9.443,629," 15,01","   27,49","   412,64"
20.06,14.346,609," 23,56","   28,07","   661,20"
21.06,3.437,146," 23,54","   29,10","   684,98"
22.06,8.907,681," 13,08","   37,69","   492,96"
23.06,9.378,617," 15,20","   32,55","   494,76"
24.06,8.970,629," 14,26","   31,55","   449,92"
25.06,13.003,644," 20,19","   27,86","   562,55"
26.06,8.924,605," 14,75","   36,06","   531,91"
27.06,15.699,616," 25,49","   26,68","   679,93"
28.06,3.632,138," 26,32","   31,04","   816,94"
29.06,7.902,671," 11,78","   33,38","   393,15"
30.06,8.937,632," 14,14","   32,16","   454,77"
?,272.242,16.735," 516,56","   910,77","   15347,47"
?,9.075,558," 17,22","   30,36","   511,58"
