Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph.../ot/live, /nwn/apps/live/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:46:25 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,14.527,4.625," 3,14","   88,72","   278,67"
02.06,12.413,4.350," 2,85","   101,87","   290,69"
03.06,14.944,4.874," 3,07","   99,06","   303,72"
04.06,14.226,4.574," 3,11","   100,38","   312,21"
05.06,13.714,4.435," 3,09","   93,13","   287,98"
06.06,12.460,4.052," 3,08","   100,47","   308,94"
07.06,13.155,4.288," 3,07","   92,80","   284,69"
08.06,11.930,4.008," 2,98","   104,02","   309,62"
09.06,13.540,4.390," 3,08","   104,29","   321,66"
10.06,13.387,4.346," 3,08","   99,71","   307,15"
11.06,13.723,4.500," 3,05","   105,42","   321,47"
12.06,12.382,4.323," 2,86","   102,75","   294,28"
13.06,12.005,4.091," 2,93","   105,41","   309,32"
14.06,12.042,4.276," 2,82","   99,30","   279,64"
15.06,12.816,4.500," 2,85","   104,31","   297,07"
16.06,13.056,4.509," 2,90","   107,56","   311,43"
17.06,13.225,4.494," 2,94","   108,15","   318,27"
18.06,13.573,4.496," 3,02","   106,52","   321,58"
19.06,12.714,4.435," 2,87","   104,51","   299,61"
20.06,11.016,3.945," 2,79","   115,58","   322,73"
21.06,11.152,4.154," 2,68","   114,61","   307,70"
22.06,12.826,4.251," 3,02","   109,61","   330,72"
23.06,15.063,4.551," 3,31","   93,61","   309,82"
24.06,14.279,4.742," 3,01","   102,93","   309,93"
25.06,13.754,4.567," 3,01","   106,93","   322,03"
26.06,12.674,4.255," 2,98","   106,25","   316,48"
27.06,13.631,4.608," 2,96","   106,72","   315,70"
28.06,12.410,4.590," 2,70","   108,23","   292,63"
29.06,14.952,4.952," 3,02","   112,15","   338,63"
30.06,12.914,4.446," 2,90","   110,74","   321,66"
?,394.503,132.627," 89,17","   3115,74","   9246,05"
?,13.150,4.421," 2,97","   103,86","   308,20"
