Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph...epaper, /nwn/apps/epaper/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:46:47 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,6.769,525," 12,89","   26,63","   343,37"
02.06,35.256,2.113," 16,69","   28,76","   479,88"
03.06,40.512,2.049," 19,77","   31,23","   617,56"
04.06,36.330,2.013," 18,05","   32,80","   591,97"
05.06,37.702,1.979," 19,05","   32,94","   627,49"
06.06,63.396,2.074," 30,57","   27,51","   841,00"
07.06,13.217,483," 27,36","   30,62","   837,92"
08.06,33.034,2.169," 15,23","   33,74","   513,90"
09.06,37.212,2.042," 18,22","   33,90","   617,70"
10.06,38.989,2.012," 19,38","   28,66","   555,44"
11.06,34.524,2.014," 17,14","   35,76","   613,02"
12.06,40.178,2.005," 20,04","   28,43","   569,63"
13.06,61.170,2.071," 29,54","   25,90","   765,08"
14.06,15.043,512," 29,38","   24,32","   714,52"
15.06,33.638,2.147," 15,67","   33,90","   531,11"
16.06,34.822,1.973," 17,65","   30,35","   535,66"
17.06,41.728,2.048," 20,38","   34,17","   696,17"
18.06,34.933,1.967," 17,76","   32,61","   579,15"
19.06,37.072,1.969," 18,83","   31,66","   596,14"
20.06,56.092,1.972," 28,44","   26,96","   766,88"
21.06,10.940,450," 24,31","   27,47","   667,80"
22.06,35.966,2.079," 17,30","   34,13","   590,38"
23.06,34.234,1.934," 17,70","   31,34","   554,67"
24.06,33.327,1.916," 17,39","   32,15","   559,28"
25.06,44.482,2.003," 22,21","   26,24","   582,79"
26.06,35.073,1.969," 17,81","   32,52","   579,23"
27.06,53.412,1.969," 27,13","   27,59","   748,47"
28.06,13.405,500," 26,81","   25,95","   695,85"
29.06,34.335,2.168," 15,84","   34,30","   543,18"
30.06,35.002,2.063," 16,97","   33,30","   565,03"
?,1.061.793,53.188," 615,50","   915,85","   18480,28"
?,35.393,1.773," 20,52","   30,53","   616,01"
