Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/saw, /nwn/apps/epaper/saw",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:47:29 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,2.261,124," 18,23","   31,04","   566,03"
02.06,398,38," 10,47","   24,01","   251,48"
03.06,118,27," 4,37","   24,16","   105,57"
04.06,143,23," 6,22","   35,47","   220,51"
05.06,465,42," 11,07","   20,79","   230,13"
06.06,18.187,1.429," 12,73","   33,75","   429,57"
07.06,7.516,243," 30,93","   25,91","   801,25"
08.06,1.115,54," 20,65","   14,51","   299,69"
09.06,123,27," 4,56","   5,34","   24,34"
10.06,218,29," 7,52","   16,48","   123,90"
11.06,563,31," 18,16","   13,45","   244,32"
12.06,402,45," 8,93","   33,03","   295,03"
13.06,16.759,1.357," 12,35","   27,02","   333,70"
14.06,9.230,267," 34,57","   25,55","   883,22"
15.06,1.079,64," 16,86","   22,49","   379,24"
16.06,46,27," 1,70","   119,63","   203,82"
17.06,107,26," 4,12","   101,82","   419,05"
18.06,106,26," 4,08","   63,74","   259,88"
19.06,178,27," 6,59","   14,72","   97,01"
20.06,16.196,1.236," 13,10","   26,04","   341,26"
21.06,7.063,224," 31,53","   30,87","   973,29"
22.06,500,44," 11,36","   14,62","   166,19"
23.06,292,32," 9,12","   34,90","   318,43"
24.06,48,26," 1,85","   40,10","   74,02"
25.06,172,26," 6,62","   74,10","   490,18"
26.06,93,28," 3,32","   23,89","   79,36"
27.06,14.750,1.217," 12,12","   27,97","   339,00"
28.06,6.451,217," 29,73","   30,55","   908,05"
29.06,742,56," 13,25","   25,09","   332,39"
30.06,204,43," 4,74","   24,79","   117,63"
?,105.525,7.055," 370,86","   1005,83","   10307,54"
?,3.518,235," 12,36","   33,53","   343,58"
