Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...oz/live, /nwn/apps/live/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:48:11 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,32.342,10.750," 3,01","   102,69","   308,95"
02.06,30.940,10.184," 3,04","   104,93","   318,79"
03.06,35.499,11.297," 3,14","   109,37","   343,68"
04.06,34.563,10.809," 3,20","   104,05","   332,73"
05.06,33.931,10.682," 3,18","   105,75","   335,91"
06.06,32.985,9.923," 3,32","   106,82","   355,08"
07.06,31.968,10.363," 3,08","   109,79","   338,67"
08.06,31.377,10.273," 3,05","   109,22","   333,61"
09.06,34.007,10.805," 3,15","   107,91","   339,63"
10.06,32.661,10.284," 3,18","   110,26","   350,18"
11.06,34.168,10.714," 3,19","   111,64","   356,04"
12.06,33.146,10.459," 3,17","   105,66","   334,84"
13.06,32.393,10.332," 3,14","   114,26","   358,22"
14.06,31.389,10.507," 2,99","   105,44","   314,99"
15.06,31.912,10.728," 2,97","   114,09","   339,39"
16.06,32.910,10.697," 3,08","   112,89","   347,32"
17.06,32.673,10.651," 3,07","   118,26","   362,76"
18.06,35.068,10.858," 3,23","   110,98","   358,42"
19.06,34.531,10.896," 3,17","   107,59","   340,95"
20.06,28.393,9.495," 2,99","   112,27","   335,73"
21.06,28.851,10.330," 2,79","   113,56","   317,16"
22.06,31.916,10.356," 3,08","   107,82","   332,30"
23.06,33.523,10.452," 3,21","   104,43","   334,95"
24.06,36.772,11.452," 3,21","   109,80","   352,57"
25.06,33.424,10.612," 3,15","   111,30","   350,56"
26.06,32.640,10.323," 3,16","   106,53","   336,83"
27.06,34.720,10.940," 3,17","   110,43","   350,48"
28.06,32.140,11.064," 2,90","   114,77","   333,39"
29.06,37.479,11.673," 3,21","   110,35","   354,30"
30.06,31.352,10.289," 3,05","   109,59","   333,93"
?,989.673,318.198," 93,28","   3282,46","   10202,37"
?,32.989,10.607," 3,11","   109,42","   340,08"
