Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...paper, /nwn/apps/epaper/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:48:32 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,11.626,830," 14,01","   28,86","   404,19"
02.06,57.578,3.419," 16,84","   30,20","   508,60"
03.06,61.082,3.152," 19,38","   32,97","   638,84"
04.06,57.340,3.192," 17,96","   33,63","   604,04"
05.06,60.932,3.259," 18,70","   34,38","   642,72"
06.06,96.832,3.223," 30,04","   27,77","   834,24"
07.06,23.473,744," 31,55","   26,23","   827,55"
08.06,56.158,3.361," 16,71","   31,84","   531,92"
09.06,59.030,3.259," 18,11","   33,70","   610,49"
10.06,63.063,3.243," 19,45","   31,11","   604,92"
11.06,58.969,3.159," 18,67","   32,81","   612,39"
12.06,54.881,3.153," 17,41","   33,67","   586,06"
13.06,94.432,3.354," 28,16","   26,03","   733,02"
14.06,24.911,790," 31,53","   27,68","   872,75"
15.06,51.561,3.437," 15,00","   36,44","   546,60"
16.06,56.293,3.151," 17,87","   30,82","   550,52"
17.06,65.516,3.314," 19,77","   33,67","   665,67"
18.06,55.855,3.147," 17,75","   32,35","   574,12"
19.06,54.893,3.044," 18,03","   31,12","   561,19"
20.06,84.552,3.050," 27,72","   27,24","   755,27"
21.06,18.780,694," 27,06","   25,14","   680,41"
22.06,55.588,3.276," 16,97","   33,00","   560,03"
23.06,56.842,3.079," 18,46","   31,20","   575,99"
24.06,57.411,3.159," 18,17","   33,54","   609,56"
25.06,60.550,3.099," 19,54","   31,95","   624,33"
26.06,68.327,3.080," 22,18","   26,76","   593,67"
27.06,85.641,3.177," 26,96","   28,17","   759,28"
28.06,18.557,722," 25,70","   25,73","   661,33"
29.06,56.165,3.350," 16,77","   34,53","   578,90"
30.06,56.213,3.236," 17,37","   35,09","   609,48"
?,1.683.051,84.153," 623,83","   927,61","   18918,07"
?,56.102,2.805," 20,79","   30,92","   630,60"
