Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/aaz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:48:46 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,294.105,81.428," 3,61","   73,16","   264,25"
02.06,397.415,93.807," 4,24","   68,91","   291,95"
03.06,393.947,100.635," 3,91","   72,03","   281,96"
04.06,392.914,100.336," 3,92","   74,72","   292,59"
05.06,385.431,97.965," 3,93","   72,69","   286,01"
06.06,318.481,79.664," 4,00","   71,43","   285,57"
07.06,316.592,92.899," 3,41","   77,08","   262,68"
08.06,380.589,116.710," 3,26","   79,36","   258,80"
09.06,372.010,111.289," 3,34","   85,70","   286,47"
10.06,403.226,107.227," 3,76","   76,62","   288,12"
11.06,378.220,109.991," 3,44","   85,95","   295,56"
12.06,332.351,92.221," 3,60","   79,76","   287,46"
13.06,306.977,89.542," 3,43","   82,45","   282,68"
14.06,325.800,97.684," 3,34","   74,79","   249,43"
15.06,388.722,104.019," 3,74","   73,29","   273,88"
16.06,350.036,97.817," 3,58","   80,26","   287,21"
17.06,387.153,104.729," 3,70","   80,58","   297,88"
18.06,318.694,93.669," 3,40","   87,53","   297,81"
19.06,344.952,94.572," 3,65","   85,92","   313,41"
20.06,269.955,71.609," 3,77","   79,11","   298,24"
21.06,264.016,72.332," 3,65","   81,44","   297,28"
22.06,345.607,97.085," 3,56","   86,31","   307,25"
23.06,402.868,97.598," 4,13","   72,86","   300,74"
24.06,353.612,90.311," 3,92","   75,38","   295,14"
25.06,358.635,88.239," 4,06","   74,53","   302,92"
26.06,374.520,86.328," 4,34","   69,30","   300,66"
27.06,302.795,76.670," 3,95","   73,74","   291,21"
28.06,318.176,79.117," 4,02","   65,93","   265,15"
29.06,397.806,104.239," 3,82","   78,70","   300,36"
30.06,356.014,99.327," 3,58","   85,35","   305,90"
?,10.531.619,2.829.059," 112,05","   2324,89","   8648,55"
?,351.054,94.302," 3,73","   77,50","   288,28"
