Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/bat2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:48:52 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,8.437,2.080," 4,06","   76,35","   309,68"
02.06,10.954,2.721," 4,03","   71,48","   287,75"
03.06,10.770,2.929," 3,68","   84,33","   310,08"
04.06,19.493,5.840," 3,34","   59,82","   199,68"
05.06,18.826,5.206," 3,62","   55,02","   198,96"
06.06,14.427,3.269," 4,41","   56,34","   248,63"
07.06,10.767,3.041," 3,54","   75,67","   267,93"
08.06,10.131,2.827," 3,58","   92,93","   333,03"
09.06,11.605,3.337," 3,48","   83,63","   290,83"
10.06,13.921,3.535," 3,94","   75,64","   297,88"
11.06,13.609,3.743," 3,64","   76,50","   278,15"
12.06,11.444,3.163," 3,62","   80,04","   289,58"
13.06,7.656,2.028," 3,78","   96,65","   364,86"
14.06,8.148,2.249," 3,62","   86,63","   313,87"
15.06,10.726,2.985," 3,59","   86,01","   309,06"
16.06,9.289,2.754," 3,37","   93,85","   316,54"
17.06,9.910,2.916," 3,40","   97,84","   332,50"
18.06,8.693,2.606," 3,34","   93,73","   312,67"
19.06,11.933,3.434," 3,47","   80,19","   278,67"
20.06,9.748,3.047," 3,20","   72,24","   231,10"
21.06,12.995,5.972," 2,18","   72,76","   158,33"
22.06,9.511,2.846," 3,34","   86,79","   290,04"
23.06,10.408,2.647," 3,93","   76,78","   301,89"
24.06,12.264,3.444," 3,56","   69,08","   246,00"
25.06,14.946,3.034," 4,93","   54,42","   268,07"
26.06,13.768,2.826," 4,87","   57,04","   277,88"
27.06,8.979,1.936," 4,64","   62,26","   288,75"
28.06,9.041,1.989," 4,55","   62,96","   286,16"
29.06,11.496,2.789," 4,12","   76,01","   313,30"
30.06,11.107,3.047," 3,65","   71,43","   260,38"
?,345.002,94.240," 112,45","   2284,40","   8462,26"
?,11.500,3.141," 3,75","   76,15","   282,08"
