Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/blz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:02 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,7,1," 7,00","   145,60","   1019,20"
02.06,0,0," 0,00","   0,00","   0,00"
03.06,3,1," 3,00","   261,50","   784,50"
04.06,2,1," 2,00","   1,00","   2,00"
05.06,1,1," 1,00","   0,00","   0,00"
06.06,0,0," 0,00","   0,00","   0,00"
07.06,0,0," 0,00","   0,00","   0,00"
08.06,0,0," 0,00","   0,00","   0,00"
09.06,0,0," 0,00","   0,00","   0,00"
10.06,1,1," 1,00","   0,00","   0,00"
11.06,8,4," 2,00","   23,75","   47,50"
12.06,0,0," 0,00","   0,00","   0,00"
13.06,1,1," 1,00","   17,00","   17,00"
14.06,0,0," 0,00","   0,00","   0,00"
15.06,0,0," 0,00","   0,00","   0,00"
16.06,10,4," 2,50","   1,00","   2,50"
17.06,0,0," 0,00","   0,00","   0,00"
18.06,1,1," 1,00","   0,00","   0,00"
19.06,0,0," 0,00","   0,00","   0,00"
20.06,0,0," 0,00","   0,00","   0,00"
21.06,0,0," 0,00","   0,00","   0,00"
22.06,1,1," 1,00","   0,00","   0,00"
23.06,0,0," 0,00","   0,00","   0,00"
24.06,0,0," 0,00","   0,00","   0,00"
25.06,0,0," 0,00","   0,00","   0,00"
26.06,0,0," 0,00","   0,00","   0,00"
27.06,0,0," 0,00","   0,00","   0,00"
28.06,2,1," 2,00","   1,00","   2,00"
29.06,2,2," 1,00","   0,00","   0,00"
30.06,0,0," 0,00","   0,00","   0,00"
?,39,19," 24,50","   450,85","   1874,70"
?,1,1," 0,82","   15,03","   62,49"
