Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/t...at/live, /nwn/apps/live/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:41:05 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,4.141,1.242," 3,33","   104,14","   347,23"
02.06,3.818,1.115," 3,42","   119,06","   407,68"
03.06,4.503,1.275," 3,53","   106,14","   374,85"
04.06,4.453,1.195," 3,73","   108,59","   404,64"
05.06,4.638,1.235," 3,76","   96,58","   362,70"
06.06,4.220,1.102," 3,83","   97,03","   371,56"
07.06,3.920,1.131," 3,47","   99,62","   345,28"
08.06,3.473,1.178," 2,95","   118,21","   348,52"
09.06,3.838,1.145," 3,35","   123,87","   415,21"
10.06,4.612,1.260," 3,66","   99,92","   365,72"
11.06,4.937,1.361," 3,63","   104,54","   379,23"
12.06,3.728,1.089," 3,42","   114,50","   391,96"
13.06,3.474,1.087," 3,20","   118,84","   379,82"
14.06,3.149,1.078," 2,92","   100,09","   292,37"
15.06,3.896,1.117," 3,49","   101,85","   355,25"
16.06,3.527,1.062," 3,32","   116,04","   385,37"
17.06,3.899,1.138," 3,43","   114,92","   393,72"
18.06,3.665,1.099," 3,33","   110,03","   366,92"
19.06,3.874,1.158," 3,35","   110,70","   370,32"
20.06,3.685,1.078," 3,42","   111,67","   381,73"
21.06,4.242,1.160," 3,66","   102,81","   375,96"
22.06,3.896,1.119," 3,48","   120,33","   418,95"
23.06,4.200,1.119," 3,75","   108,92","   408,81"
24.06,4.421,1.251," 3,53","   106,44","   376,17"
25.06,4.528,1.171," 3,87","   99,30","   383,96"
26.06,4.085,1.189," 3,44","   101,63","   349,15"
27.06,4.137,1.174," 3,52","   103,35","   364,18"
28.06,3.713,1.253," 2,96","   115,25","   341,51"
29.06,4.160,1.289," 3,23","   119,19","   384,66"
30.06,3.854,1.244," 3,10","   115,96","   359,25"
?,120.686,35.114," 103,07","   3269,48","   11202,66"
?,4.023,1.170," 3,44","   108,98","   373,42"
