Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/bzb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:11 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,86.252,25.703," 3,36","   88,46","   296,86"
02.06,120.790,31.761," 3,80","   85,53","   325,28"
03.06,116.689,35.962," 3,24","   96,97","   314,64"
04.06,112.025,34.008," 3,29","   97,61","   321,52"
05.06,105.648,31.074," 3,40","   92,56","   314,71"
06.06,90.285,27.345," 3,30","   99,44","   328,31"
07.06,127.829,30.284," 4,22","   62,08","   262,04"
08.06,151.721,36.240," 4,19","   70,26","   294,13"
09.06,125.615,36.377," 3,45","   88,57","   305,85"
10.06,121.342,35.975," 3,37","   91,52","   308,71"
11.06,121.095,34.902," 3,47","   88,69","   307,73"
12.06,115.126,33.203," 3,47","   92,48","   320,64"
13.06,102.990,36.217," 2,84","   111,22","   316,28"
14.06,103.453,32.344," 3,20","   89,41","   285,99"
15.06,133.633,37.022," 3,61","   83,62","   301,83"
16.06,114.229,36.423," 3,14","   99,27","   311,33"
17.06,126.249,37.835," 3,34","   99,34","   331,47"
18.06,118.561,34.228," 3,46","   92,29","   319,67"
19.06,105.845,33.207," 3,19","   102,67","   327,25"
20.06,76.003,23.888," 3,18","   101,51","   322,96"
21.06,81.664,24.867," 3,28","   91,11","   299,20"
22.06,123.590,33.817," 3,65","   84,37","   308,36"
23.06,97.537,31.680," 3,08","   104,46","   321,62"
24.06,98.564,29.890," 3,30","   103,70","   341,96"
25.06,108.554,27.988," 3,88","   84,73","   328,64"
26.06,100.343,27.783," 3,61","   94,15","   340,04"
27.06,100.058,25.602," 3,91","   81,86","   319,93"
28.06,105.796,27.835," 3,80","   89,98","   342,00"
29.06,119.618,31.445," 3,80","   87,58","   333,17"
30.06,101.252,31.199," 3,25","   105,37","   341,96"
?,3.312.356,956.104," 104,09","   2760,82","   9494,10"
?,110.412,31.870," 3,47","   92,03","   316,47"
