Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/gtb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:18 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,7.731,2.211," 3,50","   70,30","   245,81"
02.06,11.588,2.610," 4,44","   64,76","   287,51"
03.06,11.134,3.391," 3,28","   80,06","   262,86"
04.06,11.720,3.859," 3,04","   82,18","   249,58"
05.06,10.874,2.877," 3,78","   75,15","   284,04"
06.06,8.312,2.039," 4,08","   79,18","   322,76"
07.06,7.670,2.059," 3,73","   79,37","   295,66"
08.06,11.311,2.952," 3,83","   76,58","   293,42"
09.06,9.832,2.839," 3,46","   83,36","   288,69"
10.06,8.663,2.517," 3,44","   86,88","   299,03"
11.06,8.651,2.084," 4,15","   80,31","   333,40"
12.06,8.225,2.122," 3,88","   77,84","   301,73"
13.06,7.455,2.007," 3,71","   89,45","   332,24"
14.06,6.584,2.064," 3,19","   98,79","   315,14"
15.06,10.715,2.769," 3,87","   73,78","   285,52"
16.06,9.671,2.827," 3,42","   86,32","   295,31"
17.06,9.914,3.078," 3,22","   93,03","   299,64"
18.06,11.611,2.694," 4,31","   66,05","   284,68"
19.06,15.184,3.397," 4,47","   53,65","   239,80"
20.06,9.010,2.177," 4,14","   67,91","   281,06"
21.06,6.332,1.674," 3,78","   74,86","   283,16"
22.06,9.203,2.375," 3,87","   76,01","   294,53"
23.06,9.208,2.301," 4,00","   75,92","   303,82"
24.06,9.139,2.609," 3,50","   81,70","   286,17"
25.06,7.615,2.286," 3,33","   87,17","   290,38"
26.06,8.365,2.172," 3,85","   71,57","   275,64"
27.06,9.558,1.767," 5,41","   55,71","   301,35"
28.06,6.787,1.679," 4,04","   69,24","   279,89"
29.06,10.651,2.432," 4,38","   68,69","   300,83"
30.06,9.435,2.165," 4,36","   65,80","   286,75"
?,282.148,74.033," 115,47","   2291,61","   8700,37"
?,9.405,2.468," 3,85","   76,39","   290,01"
