Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/liz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:26 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,11.994,3.702," 3,24","   60,82","   197,03"
02.06,13.551,4.350," 3,12","   61,64","   192,02"
03.06,11.885,4.207," 2,83","   66,81","   188,73"
04.06,14.444,4.946," 2,92","   68,50","   200,03"
05.06,11.947,4.036," 2,96","   68,13","   201,67"
06.06,8.576,3.271," 2,62","   83,82","   219,76"
07.06,9.773,3.519," 2,78","   75,25","   208,97"
08.06,12.574,4.151," 3,03","   69,98","   211,98"
09.06,11.836,4.194," 2,82","   76,65","   216,31"
10.06,12.107,4.328," 2,80","   72,43","   202,62"
11.06,13.354,4.251," 3,14","   77,21","   242,56"
12.06,11.612,3.784," 3,07","   74,14","   227,53"
13.06,9.582,3.129," 3,06","   78,87","   241,54"
14.06,11.251,3.748," 3,00","   68,41","   205,36"
15.06,14.550,4.523," 3,22","   60,28","   193,90"
16.06,14.906,4.608," 3,23","   59,93","   193,87"
17.06,15.621,4.490," 3,48","   62,29","   216,73"
18.06,12.338,4.372," 2,82","   64,22","   181,24"
19.06,13.018,4.044," 3,22","   71,43","   229,93"
20.06,9.488,3.248," 2,92","   81,77","   238,86"
21.06,9.015,3.192," 2,82","   83,71","   236,42"
22.06,12.114,4.592," 2,64","   88,62","   233,77"
23.06,11.335,3.950," 2,87","   90,25","   258,97"
24.06,13.885,4.004," 3,47","   71,55","   248,11"
25.06,12.567,4.023," 3,12","   72,81","   227,44"
26.06,11.736,3.631," 3,23","   75,87","   245,21"
27.06,9.440,2.894," 3,26","   85,60","   279,22"
28.06,10.178,3.368," 3,02","   79,34","   239,77"
29.06,13.463,4.452," 3,02","   79,47","   240,32"
30.06,10.633,4.022," 2,64","   95,36","   252,09"
?,358.773,119.029," 90,38","   2225,14","   6671,99"
?,11.959,3.968," 3,01","   74,17","   222,40"
