Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/ot2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:32 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,21.651,5.410," 4,00","   73,31","   293,41"
02.06,24.532,7.090," 3,46","   86,83","   300,45"
03.06,23.046,7.090," 3,25","   101,88","   331,17"
04.06,23.158,7.204," 3,21","   101,18","   325,24"
05.06,25.424,6.580," 3,86","   79,16","   305,87"
06.06,21.099,5.178," 4,07","   80,19","   326,77"
07.06,19.031,4.807," 3,96","   85,57","   338,76"
08.06,20.692,5.957," 3,47","   102,59","   356,37"
09.06,22.669,7.076," 3,20","   104,24","   333,96"
10.06,23.141,7.111," 3,25","   105,04","   341,84"
11.06,25.085,5.888," 4,26","   79,85","   340,19"
12.06,18.615,5.310," 3,51","   94,38","   330,86"
13.06,18.688,5.663," 3,30","   105,76","   349,00"
14.06,17.520,5.499," 3,19","   102,02","   325,05"
15.06,20.164,5.996," 3,36","   109,70","   368,93"
16.06,19.624,6.130," 3,20","   109,29","   349,87"
17.06,21.909,6.470," 3,39","   107,56","   364,23"
18.06,20.468,5.859," 3,49","   104,72","   365,83"
19.06,20.271,5.708," 3,55","   104,71","   371,87"
20.06,14.301,4.627," 3,09","   116,91","   361,34"
21.06,11.781,3.900," 3,02","   118,14","   356,89"
22.06,18.910,5.680," 3,33","   109,17","   363,45"
23.06,29.418,6.342," 4,64","   68,09","   315,84"
24.06,20.226,5.888," 3,44","   100,57","   345,46"
25.06,19.405,5.921," 3,28","   108,11","   354,32"
26.06,20.207,5.688," 3,55","   97,38","   345,95"
27.06,18.332,4.918," 3,73","   94,64","   352,78"
28.06,15.689,4.552," 3,45","   103,78","   357,69"
29.06,23.453,6.185," 3,79","   95,98","   363,95"
30.06,21.376,6.356," 3,36","   102,11","   343,39"
?,619.885,176.083," 105,68","   2952,89","   10280,74"
?,20.663,5.869," 3,52","   98,43","   342,69"
