Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/saw,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:37 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,1.367,879," 1,56","   141,59","   220,20"
02.06,847,710," 1,19","   166,54","   198,67"
03.06,689,593," 1,16","   183,95","   213,73"
04.06,736,633," 1,16","   216,28","   251,48"
05.06,737,657," 1,12","   201,10","   225,58"
06.06,3.358,2.165," 1,55","   221,06","   342,88"
07.06,1.946,1.416," 1,37","   234,94","   322,87"
08.06,891,713," 1,25","   188,48","   235,54"
09.06,773,663," 1,17","   239,55","   279,30"
10.06,756,647," 1,17","   141,67","   165,53"
11.06,691,609," 1,13","   210,43","   238,76"
12.06,588,506," 1,16","   247,96","   288,15"
13.06,3.475,2.319," 1,50","   183,98","   275,69"
14.06,2.759,2.101," 1,31","   261,10","   342,87"
15.06,976,814," 1,20","   188,82","   226,40"
16.06,671,549," 1,22","   213,05","   260,39"
17.06,602,521," 1,16","   175,52","   202,80"
18.06,626,535," 1,17","   155,19","   181,59"
19.06,628,548," 1,15","   259,39","   297,26"
20.06,2.370,1.633," 1,45","   184,52","   267,80"
21.06,4.301,2.260," 1,90","   72,04","   137,10"
22.06,2.111,1.334," 1,58","   74,73","   118,26"
23.06,710,624," 1,14","   192,58","   219,12"
24.06,607,510," 1,19","   258,44","   307,59"
25.06,757,635," 1,19","   152,83","   182,19"
26.06,754,632," 1,19","   212,77","   253,84"
27.06,2.793,1.632," 1,71","   185,63","   317,69"
28.06,2.224,1.613," 1,38","   179,36","   247,30"
29.06,990,843," 1,17","   199,24","   233,98"
30.06,757,627," 1,21","   152,68","   184,33"
?,41.490,29.921," 38,83","   5695,40","   7238,88"
?,1.383,997," 1,29","   189,85","   241,30"
