Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
Filter: /live/soz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:49:44 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,44.288,12.562," 3,53","   76,31","   269,04"
02.06,68.877,15.973," 4,31","   63,28","   272,88"
03.06,59.745,16.709," 3,58","   83,59","   298,88"
04.06,64.888,17.951," 3,61","   81,86","   295,89"
05.06,66.553,17.573," 3,79","   77,39","   293,10"
06.06,61.619,15.213," 4,05","   65,02","   263,37"
07.06,51.580,14.389," 3,58","   72,82","   261,04"
08.06,61.024,17.040," 3,58","   84,10","   301,19"
09.06,65.713,17.756," 3,70","   78,65","   291,07"
10.06,66.830,16.972," 3,94","   74,20","   292,16"
11.06,60.432,14.529," 4,16","   72,40","   301,15"
12.06,62.099,14.453," 4,30","   64,91","   278,88"
13.06,53.747,13.869," 3,88","   74,82","   289,94"
14.06,50.163,13.884," 3,61","   70,91","   256,19"
15.06,60.986,16.501," 3,70","   79,45","   293,65"
16.06,55.239,16.563," 3,34","   90,43","   301,59"
17.06,56.844,16.176," 3,51","   89,39","   314,11"
18.06,59.272,15.102," 3,92","   76,69","   300,99"
19.06,64.268,15.250," 4,21","   70,64","   297,70"
20.06,44.748,11.059," 4,05","   71,73","   290,23"
21.06,37.120,11.280," 3,29","   83,27","   274,03"
22.06,62.152,15.848," 3,92","   75,66","   296,72"
23.06,72.136,16.727," 4,31","   63,79","   275,11"
24.06,62.165,16.478," 3,77","   76,19","   287,44"
25.06,55.744,15.251," 3,66","   82,76","   302,50"
26.06,65.326,14.886," 4,39","   64,92","   284,90"
27.06,51.979,12.255," 4,24","   68,89","   292,20"
28.06,43.958,12.390," 3,55","   75,50","   267,86"
29.06,85.797,17.924," 4,79","   62,29","   298,15"
30.06,63.265,15.678," 4,04","   73,51","   296,65"
?,1.778.557,458.241," 116,30","   2245,37","   8638,61"
?,59.285,15.275," 3,88","   74,85","   287,95"
