Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/p...paper, /nwn/apps/epaper/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:41:25 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,2.124,130," 16,34","   30,54","   498,96"
02.06,13.379,699," 19,14","   32,83","   628,32"
03.06,14.838,673," 22,05","   32,91","   725,68"
04.06,15.098,685," 22,04","   36,65","   807,77"
05.06,17.930,675," 26,56","   27,85","   739,81"
06.06,22.855,708," 32,28","   30,11","   971,94"
07.06,4.326,140," 30,90","   31,19","   963,72"
08.06,13.343,688," 19,39","   34,76","   674,16"
09.06,14.063,656," 21,44","   37,09","   795,12"
10.06,16.975,677," 25,07","   30,61","   767,48"
11.06,14.416,681," 21,17","   39,08","   827,24"
12.06,14.700,648," 22,69","   32,19","   730,13"
13.06,22.890,685," 33,42","   30,23","   1010,06"
14.06,5.104,182," 28,04","   31,95","   895,95"
15.06,14.835,722," 20,55","   32,47","   667,13"
16.06,14.126,644," 21,93","   35,74","   784,01"
17.06,15.978,702," 22,76","   36,78","   837,09"
18.06,15.068,696," 21,65","   32,88","   711,87"
19.06,15.780,644," 24,50","   31,10","   761,98"
20.06,23.100,681," 33,92","   26,23","   889,64"
21.06,4.857,170," 28,57","   29,00","   828,55"
22.06,14.588,748," 19,50","   40,13","   782,61"
23.06,15.460,684," 22,60","   33,34","   753,62"
24.06,14.110,670," 21,06","   37,11","   781,50"
25.06,15.180,659," 23,03","   34,06","   784,61"
26.06,16.865,676," 24,95","   30,99","   773,20"
27.06,19.573,669," 29,26","   30,95","   905,54"
28.06,4.160,138," 30,14","   29,15","   878,61"
29.06,12.185,702," 17,36","   36,08","   626,34"
30.06,15.251,701," 21,76","   34,17","   743,37"
?,423.157,17.833," 724,08","   988,16","   23546,02"
?,14.105,594," 24,14","   32,94","   784,87"
