Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...lz/live, /nwn/apps/live/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:42:00 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,48.416,17.153," 2,82","   119,97","   338,62"
02.06,47.916,16.411," 2,92","   124,91","   364,71"
03.06,54.941,17.883," 3,07","   120,75","   370,98"
04.06,48.522,16.422," 2,95","   124,23","   367,06"
05.06,46.610,15.944," 2,92","   128,09","   374,45"
06.06,50.344,16.593," 3,03","   127,94","   388,18"
07.06,48.959,16.035," 3,05","   114,90","   350,80"
08.06,46.919,15.765," 2,98","   119,68","   356,18"
09.06,52.206,17.029," 3,07","   124,32","   381,12"
10.06,49.151,15.887," 3,09","   121,05","   374,50"
11.06,49.183,16.310," 3,02","   125,10","   377,24"
12.06,50.157,16.122," 3,11","   121,90","   379,23"
13.06,50.479,16.569," 3,05","   134,59","   410,05"
14.06,50.581,17.768," 2,85","   125,02","   355,90"
15.06,49.353,16.478," 3,00","   121,26","   363,19"
16.06,50.619,16.729," 3,03","   121,87","   368,75"
17.06,57.639,17.985," 3,20","   124,75","   399,82"
18.06,50.789,16.423," 3,09","   122,15","   377,74"
19.06,50.766,17.259," 2,94","   125,70","   369,74"
20.06,44.343,15.728," 2,82","   125,20","   352,98"
21.06,46.426,16.668," 2,79","   126,52","   352,41"
22.06,52.889,16.941," 3,12","   110,77","   345,82"
23.06,47.322,15.869," 2,98","   124,47","   371,18"
24.06,51.224,17.373," 2,95","   126,79","   373,83"
25.06,47.689,16.325," 2,92","   126,59","   369,80"
26.06,47.318,16.286," 2,91","   122,74","   356,61"
27.06,53.798,17.698," 3,04","   121,30","   368,74"
28.06,58.765,18.980," 3,10","   130,07","   402,71"
29.06,50.791,17.770," 2,86","   131,76","   376,61"
30.06,51.343,17.444," 2,94","   128,52","   378,27"
?,1.505.458,503.847," 89,62","   3722,91","   11117,23"
?,50.182,16.795," 2,99","   124,10","   370,57"
