Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...paper, /nwn/apps/epaper/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:42:17 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,11.832,687," 17,22","   29,55","   508,90"
02.06,52.792,3.758," 14,05","   33,63","   472,47"
03.06,65.407,3.431," 19,06","   30,98","   590,64"
04.06,55.100,3.496," 15,76","   35,82","   564,58"
05.06,56.580,3.472," 16,30","   34,58","   563,44"
06.06,93.608,3.619," 25,87","   29,39","   760,10"
07.06,21.931,762," 28,78","   29,06","   836,27"
08.06,51.471,3.863," 13,32","   36,06","   480,47"
09.06,56.664,3.519," 16,10","   37,13","   597,82"
10.06,59.668,3.439," 17,35","   33,73","   585,30"
11.06,52.921,3.463," 15,28","   36,96","   564,85"
12.06,51.933,3.399," 15,28","   38,42","   586,94"
13.06,97.219,3.671," 26,48","   27,28","   722,38"
14.06,22.311,785," 28,42","   31,25","   888,08"
15.06,51.075,3.729," 13,70","   37,59","   514,87"
16.06,53.544,3.454," 15,50","   35,45","   549,53"
17.06,61.982,3.558," 17,42","   35,02","   610,06"
18.06,50.955,3.409," 14,95","   34,19","   511,11"
19.06,52.738,3.376," 15,62","   32,91","   514,10"
20.06,86.422,3.535," 24,45","   28,71","   701,98"
21.06,18.607,720," 25,84","   29,00","   749,54"
22.06,54.712,3.719," 14,71","   35,72","   525,55"
23.06,51.945,3.450," 15,06","   37,87","   570,22"
24.06,53.316,3.393," 15,71","   34,13","   536,29"
25.06,58.136,3.468," 16,76","   34,56","   579,35"
26.06,51.847,3.393," 15,28","   33,82","   516,80"
27.06,86.074,3.580," 24,04","   30,18","   725,54"
28.06,18.732,824," 22,73","   30,87","   701,68"
29.06,53.455,3.716," 14,39","   36,30","   522,18"
30.06,53.399,3.465," 15,41","   36,23","   558,33"
?,1.606.376,92.153," 550,86","   1006,38","   18109,38"
?,53.546,3.072," 18,36","   33,55","   603,65"
