Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/p...zb/live, /nwn/apps/live/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:42:52 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,10.504,3.748," 2,80","   111,06","   311,25"
02.06,11.109,3.650," 3,04","   120,72","   367,42"
03.06,11.774,3.931," 3,00","   121,25","   363,18"
04.06,10.843,3.694," 2,94","   121,70","   357,23"
05.06,10.128,3.618," 2,80","   129,28","   361,89"
06.06,10.916,3.722," 2,93","   126,55","   371,16"
07.06,10.177,3.516," 2,89","   119,64","   346,30"
08.06,10.808,3.555," 3,04","   122,78","   373,29"
09.06,10.884,3.722," 2,92","   127,01","   371,39"
10.06,10.961,3.655," 3,00","   126,62","   379,71"
11.06,10.349,3.575," 2,89","   136,00","   393,68"
12.06,10.351,3.568," 2,90","   124,77","   361,96"
13.06,10.328,3.622," 2,85","   141,59","   403,74"
14.06,10.824,3.969," 2,73","   129,11","   352,10"
15.06,11.053,3.742," 2,95","   120,24","   355,16"
16.06,11.293,3.783," 2,99","   122,68","   366,22"
17.06,11.810,3.956," 2,99","   129,16","   385,59"
18.06,10.488,3.595," 2,92","   127,75","   372,71"
19.06,10.490,3.691," 2,84","   123,29","   350,40"
20.06,9.227,3.401," 2,71","   129,23","   350,60"
21.06,9.602,3.643," 2,64","   128,03","   337,45"
22.06,10.877,3.768," 2,89","   114,63","   330,89"
23.06,10.043,3.610," 2,78","   121,45","   337,87"
24.06,10.513,3.902," 2,69","   133,30","   359,14"
25.06,10.213,3.575," 2,86","   123,83","   353,75"
26.06,10.393,3.751," 2,77","   120,93","   335,07"
27.06,11.295,3.813," 2,96","   127,00","   376,20"
28.06,12.262,4.186," 2,93","   128,77","   377,21"
29.06,10.748,3.892," 2,76","   131,11","   362,07"
30.06,11.063,3.850," 2,87","   127,48","   366,30"
?,321.326,111.703," 86,29","   3766,95","   10830,94"
?,10.711,3.723," 2,88","   125,57","   361,03"
