Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/t...paper, /nwn/apps/epaper/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:43:15 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,287,21," 13,67","   29,18","   398,75"
02.06,95,20," 4,75","   36,77","   174,67"
03.06,12,8," 1,50","   33,00","   49,50"
04.06,19,14," 1,36","   183,33","   248,81"
05.06,51,10," 5,10","   14,56","   74,26"
06.06,876,198," 4,42","   49,47","   218,86"
07.06,105,16," 6,56","   43,47","   285,25"
08.06,59,14," 4,21","   29,78","   125,49"
09.06,102,24," 4,25","   21,37","   90,83"
10.06,77,8," 9,62","   16,59","   159,72"
11.06,15,13," 1,15","   40,00","   46,15"
12.06,7,6," 1,17","   29,00","   33,83"
13.06,642,205," 3,13","   37,57","   117,66"
14.06,330,21," 15,71","   34,95","   549,19"
15.06,70,11," 6,36","   19,58","   124,62"
16.06,22,17," 1,29","   153,43","   198,55"
17.06,56,19," 2,95","   138,95","   409,52"
18.06,10,9," 1,11","   1250,00","   1388,89"
19.06,39,12," 3,25","   57,63","   187,30"
20.06,571,182," 3,14","   26,13","   81,98"
21.06,236,18," 13,11","   16,90","   221,63"
22.06,44,16," 2,75","   87,36","   240,23"
23.06,114,15," 7,60","   19,05","   144,78"
24.06,36,10," 3,60","   27,08","   97,48"
25.06,21,12," 1,75","   15,67","   27,42"
26.06,8,5," 1,60","   52,00","   83,20"
27.06,480,181," 2,65","   37,98","   100,73"
28.06,230,22," 10,45","   7,59","   79,36"
29.06,30,14," 2,14","   34,27","   73,43"
30.06,75,19," 3,95","   52,46","   207,10"
?,4.719,1.140," 144,33","   2595,12","   6239,19"
?,157,38," 4,81","   86,50","   207,97"
