Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/live, /nwn/apps/live/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:43:44 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,3.532,1.172," 3,01","   106,85","   322,02"
02.06,3.896,1.184," 3,29","   90,64","   298,26"
03.06,4.217,1.309," 3,22","   107,83","   347,38"
04.06,4.039,1.268," 3,19","   95,15","   303,10"
05.06,4.150,1.199," 3,46","   100,56","   348,07"
06.06,3.554,1.175," 3,02","   114,61","   346,66"
07.06,3.459,1.198," 2,89","   110,90","   320,21"
08.06,3.530,1.106," 3,19","   106,91","   341,22"
09.06,3.706,1.199," 3,09","   116,02","   358,60"
10.06,3.717,1.197," 3,11","   101,46","   315,05"
11.06,3.556,1.226," 2,90","   110,10","   319,35"
12.06,3.473,1.112," 3,12","   107,06","   334,37"
13.06,3.580,1.149," 3,12","   115,09","   358,59"
14.06,3.230,1.178," 2,74","   102,82","   281,92"
15.06,3.809,1.209," 3,15","   96,54","   304,15"
16.06,3.880,1.202," 3,23","   110,65","   357,16"
17.06,3.807,1.213," 3,14","   125,25","   393,10"
18.06,4.975,1.324," 3,76","   95,32","   358,17"
19.06,4.488,1.335," 3,36","   98,91","   332,53"
20.06,3.636,1.124," 3,23","   111,87","   361,90"
21.06,3.056,1.153," 2,65","   116,39","   308,49"
22.06,3.609,1.187," 3,04","   103,86","   315,78"
23.06,3.499,1.159," 3,02","   99,15","   299,32"
24.06,4.203,1.349," 3,12","   104,53","   325,68"
25.06,3.777,1.297," 2,91","   108,59","   316,22"
26.06,3.600,1.150," 3,13","   111,78","   349,91"
27.06,4.581,1.288," 3,56","   97,26","   345,91"
28.06,3.459,1.279," 2,70","   118,92","   321,60"
29.06,4.186,1.322," 3,17","   110,43","   349,67"
30.06,3.662,1.236," 2,96","   108,10","   320,27"
?,113.866,36.499," 93,48","   3203,54","   9954,64"
?,3.796,1.217," 3,12","   106,78","   331,82"
