Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.06.2020 00:00:00 GMT - 01.07.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/android/t...paper, /nwn/apps/epaper/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.07.2020 09:44:00 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.06,1.586,108," 14,69","   28,83","   423,34"
02.06,8.609,457," 18,84","   31,06","   585,17"
03.06,9.461,409," 23,13","   32,78","   758,26"
04.06,9.045,452," 20,01","   34,08","   681,94"
05.06,8.761,436," 20,09","   34,41","   691,43"
06.06,14.779,459," 32,20","   26,65","   858,22"
07.06,3.302,98," 33,69","   29,47","   992,83"
08.06,8.842,477," 18,54","   31,77","   588,92"
09.06,9.394,454," 20,69","   37,45","   774,86"
10.06,9.959,457," 21,79","   28,69","   625,28"
11.06,8.629,410," 21,05","   34,71","   730,60"
12.06,8.392,418," 20,08","   32,96","   661,66"
13.06,13.967,436," 32,03","   25,55","   818,41"
14.06,2.583,89," 29,02","   33,18","   962,86"
15.06,7.618,447," 17,04","   36,12","   615,55"
16.06,7.885,423," 18,64","   30,96","   577,12"
17.06,10.334,455," 22,71","   33,39","   758,40"
18.06,8.252,438," 18,84","   33,83","   637,29"
19.06,8.683,416," 20,87","   32,94","   687,45"
20.06,12.564,405," 31,02","   27,19","   843,64"
21.06,3.002,110," 27,29","   33,48","   913,83"
22.06,9.402,476," 19,75","   32,74","   646,75"
23.06,8.870,412," 21,53","   30,22","   650,59"
24.06,8.426,418," 20,16","   36,32","   732,12"
25.06,8.940,423," 21,13","   29,93","   632,59"
26.06,11.480,427," 26,89","   24,49","   658,35"
27.06,12.236,445," 27,50","   27,33","   751,49"
28.06,3.113,104," 29,93","   29,99","   897,75"
29.06,8.630,459," 18,80","   28,93","   544,03"
30.06,8.719,443," 19,68","   34,32","   675,52"
?,255.463,11.461," 687,65","   943,78","   21376,24"
?,8.515,382," 22,92","   31,46","   712,54"
