,0,1,2,3,4
AAZ APP-EPAPER,4196736.0,218882.0,604.91,1111.55,21400.57
AAZ APP-LIVE,5065888.0,1533188.0,102.32,3541.13,11682.09
AAZ WEB,12583297.0,3313170.0,117.62,2238.95,8404.48
BAT APP-EPAPER,401831.0,18278.0,680.02,1101.8,23786.29
BAT APP-LIVE,126155.0,36839.0,105.97,3324.73,11344.54
BAT WEB,310238.0,81468.0,118.06,2545.2,9634.07
BLZ APP-EPAPER,1538991.0,91816.0,539.8,1126.59,19257.23
BLZ APP-LIVE,1629510.0,542071.0,93.1,3879.39,11641.22
BLZ WEB,93.0,37.0,51.72,400.73,1205.36
BZB APP-EPAPER,4952.0,1336.0,101.89,2365.01,5475.02
BZB APP-LIVE,349379.0,119341.0,90.64,3843.07,11228.53
BZB WEB,3789583.0,1050418.0,111.76,2647.26,9413.2
GTB APP-EPAPER,245616.0,11787.0,663.72,1075.8,22459.09
GTB APP-LIVE,121599.0,37991.0,98.99,3208.69,10229.47
GTB WEB,351437.0,84256.0,129.65,2041.19,8422.38
LIZ APP-EPAPER,277380.0,16591.0,525.22,974.53,16231.33
LIZ APP-LIVE,173671.0,65383.0,82.31,3538.31,9392.92
LIZ WEB,400676.0,130579.0,95.15,2275.78,6936.32
OT APP-EPAPER,1005752.0,53919.0,591.1,1021.42,19176.82
OT APP-LIVE,425794.0,141325.0,93.28,3195.25,9616.56
OT WEB,698138.0,189063.0,114.51,2792.79,10187.51
SAW APP-EPAPER,123656.0,8703.0,375.64,874.18,10501.44
SAW LIVE,101237.0,36685.0,61.45,5083.78,7231.69
SOZ APP-EPAPER,1611420.0,86158.0,593.24,1063.58,19945.7
SOZ APP-LIVE,1093304.0,349389.0,96.83,3433.58,10715.74
SOZ WEB,2049109.0,523246.0,120.58,2299.4,8828.44
