Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...az/live, /nwn/apps/live/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:41:47 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,190.923,57.568," 3,32","   120,15","   398,46"
02.05,173.900,52.895," 3,29","   116,57","   383,25"
03.05,160.106,50.740," 3,16","   114,16","   360,22"
04.05,176.686,53.027," 3,33","   119,13","   396,95"
05.05,177.556,50.973," 3,48","   112,14","   390,64"
06.05,170.982,50.364," 3,39","   122,82","   416,97"
07.05,156.891,49.508," 3,17","   123,14","   390,22"
08.05,171.961,51.752," 3,32","   117,31","   389,80"
09.05,165.631,48.933," 3,38","   113,66","   384,73"
10.05,166.542,49.544," 3,36","   107,68","   361,98"
11.05,176.677,52.971," 3,34","   113,23","   377,67"
12.05,192.874,53.926," 3,58","   107,62","   384,91"
13.05,163.299,50.260," 3,25","   116,77","   379,38"
14.05,165.787,49.277," 3,36","   112,94","   379,99"
15.05,169.781,50.947," 3,33","   113,49","   378,20"
16.05,164.692,49.045," 3,36","   114,57","   384,73"
17.05,155.576,48.127," 3,23","   111,76","   361,27"
18.05,170.319,50.727," 3,36","   111,67","   374,95"
19.05,171.827,49.727," 3,46","   107,73","   372,26"
20.05,155.981,47.664," 3,27","   110,93","   363,02"
21.05,170.535,49.550," 3,44","   104,35","   359,13"
22.05,160.147,48.510," 3,30","   114,96","   379,50"
23.05,156.023,47.933," 3,26","   124,96","   406,75"
24.05,140.613,46.175," 3,05","   110,13","   335,36"
25.05,156.808,47.909," 3,27","   112,01","   366,62"
26.05,140.372,44.568," 3,15","   116,35","   366,45"
27.05,148.229,46.984," 3,15","   123,71","   390,28"
28.05,147.134,45.212," 3,25","   113,60","   369,68"
29.05,170.994,50.680," 3,37","   112,13","   378,32"
30.05,138.576,42.508," 3,26","   111,03","   361,96"
31.05,138.466,45.184," 3,06","   110,44","   338,44"
?,5.065.888,1.533.188," 102,32","   3541,13","   11682,09"
?,163.416,49.458," 3,30","   114,23","   376,84"
