Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/aaz/android/p...paper, /nwn/apps/epaper/aaz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:42:13 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,43.808,5.357," 8,18","   41,92","   342,78"
02.05,223.971,9.653," 23,20","   35,21","   817,03"
03.05,44.051,1.972," 22,34","   32,77","   731,93"
04.05,140.351,9.424," 14,89","   42,52","   633,31"
05.05,150.320,8.352," 18,00","   41,00","   737,85"
06.05,153.343,8.328," 18,41","   42,13","   775,76"
07.05,147.168,8.135," 18,09","   37,07","   670,57"
08.05,144.539,7.946," 18,19","   37,43","   680,77"
09.05,211.177,7.758," 27,22","   34,51","   939,36"
10.05,51.166,2.050," 24,96","   32,86","   820,21"
11.05,150.233,11.525," 13,04","   38,51","   502,01"
12.05,147.210,7.795," 18,89","   37,27","   703,88"
13.05,154.865,8.419," 18,39","   38,43","   706,86"
14.05,167.919,8.184," 20,52","   34,57","   709,39"
15.05,148.392,8.111," 18,30","   35,58","   650,90"
16.05,206.586,8.210," 25,16","   33,27","   837,08"
17.05,50.489,1.960," 25,76","   30,24","   779,00"
18.05,136.554,8.645," 15,80","   41,19","   650,67"
19.05,143.818,7.899," 18,21","   36,60","   666,46"
20.05,154.595,7.953," 19,44","   34,29","   666,46"
21.05,25.789,2.232," 11,55","   33,69","   389,25"
22.05,177.050,8.585," 20,62","   32,90","   678,58"
23.05,214.069,8.627," 24,81","   33,83","   839,39"
24.05,40.330,1.811," 22,27","   33,08","   736,58"
25.05,137.367,8.573," 16,02","   36,16","   579,33"
26.05,137.736,7.844," 17,56","   37,01","   649,91"
27.05,167.003,8.023," 20,82","   33,13","   689,64"
28.05,142.383,7.778," 18,31","   36,06","   660,03"
29.05,152.410,7.990," 19,08","   34,50","   658,11"
30.05,191.949,7.990," 24,02","   32,49","   780,53"
31.05,40.095,1.753," 22,87","   31,34","   716,90"
?,4.196.736,218.882," 604,91","   1111,55","   21400,57"
?,135.379,7.061," 19,51","   35,86","   690,34"
