Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/p...iz/live, /nwn/apps/live/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:47:42 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,6.554,2.477," 2,65","   119,06","   315,03"
02.05,6.340,2.320," 2,73","   121,03","   330,75"
03.05,5.533,2.151," 2,57","   111,27","   286,22"
04.05,6.091,2.304," 2,64","   104,08","   275,15"
05.05,5.981,2.172," 2,75","   109,00","   300,15"
06.05,5.551,2.187," 2,54","   120,82","   306,66"
07.05,5.478,2.087," 2,62","   117,98","   309,66"
08.05,5.853,2.163," 2,71","   121,93","   329,93"
09.05,6.424,2.171," 2,96","   102,27","   302,62"
10.05,5.384,2.092," 2,57","   106,14","   273,16"
11.05,6.314,2.290," 2,76","   99,67","   274,82"
12.05,5.613,2.061," 2,72","   110,08","   299,80"
13.05,5.539,2.082," 2,66","   109,21","   290,54"
14.05,5.473,2.058," 2,66","   104,76","   278,59"
15.05,5.722,2.232," 2,56","   131,12","   336,14"
16.05,5.866,2.120," 2,77","   128,55","   355,69"
17.05,5.369,2.108," 2,55","   106,62","   271,55"
18.05,5.507,2.130," 2,59","   117,10","   302,76"
19.05,5.374,2.056," 2,61","   107,63","   281,33"
20.05,5.378,2.061," 2,61","   105,56","   275,45"
21.05,5.455,2.156," 2,53","   117,45","   297,17"
22.05,5.715,2.061," 2,77","   115,67","   320,75"
23.05,5.699,2.052," 2,78","   132,16","   367,04"
24.05,4.729,1.869," 2,53","   111,11","   281,12"
25.05,4.959,1.987," 2,50","   115,35","   287,87"
26.05,4.927,1.946," 2,53","   114,62","   290,19"
27.05,5.499,2.031," 2,71","   116,22","   314,67"
28.05,4.907,1.925," 2,55","   122,46","   312,16"
29.05,6.024,2.195," 2,74","   119,49","   327,93"
30.05,5.300,1.874," 2,83","   113,99","   322,37"
31.05,5.113,1.965," 2,60","   105,93","   275,64"
?,173.671,65.383," 82,31","   3538,31","   9392,92"
?,5.602,2.109," 2,66","   114,14","   303,00"
