Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/liz/android/p...paper, /nwn/apps/epaper/liz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:47:59 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,2.622,281," 9,33","   26,47","   247,00"
02.05,16.619,733," 22,67","   32,96","   747,35"
03.05,2.170,116," 18,71","   31,61","   591,29"
04.05,8.358,720," 11,61","   34,75","   403,40"
05.05,9.339,625," 14,94","   39,71","   593,39"
06.05,8.423,617," 13,65","   37,51","   512,08"
07.05,11.415,597," 19,12","   28,95","   553,63"
08.05,8.509,578," 14,72","   35,13","   517,18"
09.05,14.707,626," 23,49","   31,03","   729,02"
10.05,3.453,165," 20,93","   28,51","   596,69"
11.05,8.957,708," 12,65","   31,14","   393,98"
12.05,9.280,781," 11,88","   33,45","   397,48"
13.05,8.889,608," 14,62","   34,15","   499,26"
14.05,16.509,650," 25,40","   22,15","   562,58"
15.05,9.642,615," 15,68","   33,92","   531,81"
16.05,14.088,628," 22,43","   28,14","   631,34"
17.05,2.709,133," 20,37","   29,36","   597,93"
18.05,8.327,673," 12,37","   38,63","   478,00"
19.05,8.516,582," 14,63","   33,48","   489,91"
20.05,10.671,628," 16,99","   27,53","   467,86"
21.05,1.725,148," 11,66","   32,89","   383,39"
22.05,10.579,676," 15,65","   29,29","   458,39"
23.05,16.143,688," 23,46","   31,27","   733,60"
24.05,2.907,143," 20,33","   25,07","   509,59"
25.05,9.402,701," 13,41","   32,17","   431,53"
26.05,8.544,595," 14,36","   30,17","   433,22"
27.05,8.484,624," 13,60","   34,45","   468,40"
28.05,9.674,598," 16,18","   32,49","   525,56"
29.05,9.095,601," 15,13","   32,06","   485,24"
30.05,14.881,625," 23,81","   25,18","   599,62"
31.05,2.743,128," 21,43","   30,87","   661,62"
?,277.380,16.591," 525,22","   974,53","   16231,33"
?,8.948,535," 16,94","   31,44","   523,59"
