Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph.../ot/live, /nwn/apps/live/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:48:59 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,17.691,5.541," 3,19","   110,27","   352,06"
02.05,14.857,4.882," 3,04","   108,07","   328,89"
03.05,13.130,4.576," 2,87","   102,76","   294,84"
04.05,14.342,4.781," 3,00","   99,59","   298,75"
05.05,15.253,4.638," 3,29","   100,62","   330,92"
06.05,14.975,4.801," 3,12","   103,91","   324,10"
07.05,13.102,4.517," 2,90","   106,71","   309,53"
08.05,13.607,4.580," 2,97","   106,28","   315,76"
09.05,13.234,4.408," 3,00","   106,68","   320,27"
10.05,13.912,4.622," 3,01","   108,96","   327,95"
11.05,16.063,5.098," 3,15","   104,21","   328,35"
12.05,14.367,4.676," 3,07","   104,53","   321,17"
13.05,14.284,4.790," 2,98","   105,57","   314,80"
14.05,14.485,4.415," 3,28","   102,78","   337,20"
15.05,13.805,4.673," 2,95","   99,70","   294,53"
16.05,14.293,4.511," 3,17","   101,67","   322,13"
17.05,12.597,4.490," 2,81","   96,75","   271,44"
18.05,14.024,4.600," 3,05","   101,03","   308,01"
19.05,14.303,4.510," 3,17","   95,08","   301,52"
20.05,13.538,4.539," 2,98","   102,87","   306,81"
21.05,13.575,4.512," 3,01","   95,66","   287,80"
22.05,13.445,4.581," 2,93","   104,74","   307,40"
23.05,13.708,4.526," 3,03","   110,28","   334,01"
24.05,11.829,4.170," 2,84","   90,76","   257,45"
25.05,12.879,4.369," 2,95","   98,11","   289,20"
26.05,12.250,4.145," 2,96","   97,80","   289,05"
27.05,12.781,4.445," 2,88","   110,37","   317,37"
28.05,12.123,4.159," 2,91","   102,82","   299,70"
29.05,13.688,4.599," 2,98","   107,86","   321,01"
30.05,11.639,4.119," 2,83","   105,39","   297,80"
31.05,12.015,4.052," 2,97","   103,44","   306,73"
?,425.794,141.325," 93,28","   3195,25","   9616,56"
?,13.735,4.559," 3,01","   103,07","   310,21"
