Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/ot/android/ph...epaper, /nwn/apps/epaper/ot",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:49:19 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,12.236,1.611," 7,60","   38,84","   294,98"
02.05,60.695,2.329," 26,06","   31,96","   832,77"
03.05,10.922,478," 22,85","   31,22","   713,45"
04.05,34.138,2.331," 14,65","   35,38","   518,08"
05.05,34.829,2.073," 16,80","   37,73","   633,97"
06.05,37.246,2.065," 18,04","   34,10","   615,05"
07.05,33.807,1.954," 17,30","   32,58","   563,70"
08.05,33.550,1.922," 17,46","   33,63","   586,99"
09.05,54.812,2.074," 26,43","   30,97","   818,46"
10.05,12.291,452," 27,19","   30,04","   816,79"
11.05,34.540,2.157," 16,01","   33,17","   531,14"
12.05,32.882,1.994," 16,49","   33,99","   560,58"
13.05,35.020,2.106," 16,63","   36,04","   599,23"
14.05,35.955,2.037," 17,65","   34,88","   615,70"
15.05,36.782,1.940," 18,96","   33,44","   634,02"
16.05,54.433,2.039," 26,70","   29,81","   795,89"
17.05,10.748,439," 24,48","   28,46","   696,70"
18.05,33.679,2.163," 15,57","   35,82","   557,70"
19.05,31.128,1.928," 16,15","   34,29","   553,68"
20.05,33.833,1.973," 17,15","   32,80","   562,44"
21.05,5.790,613," 9,45","   31,06","   293,34"
22.05,36.248,2.092," 17,33","   32,32","   560,04"
23.05,55.185,2.131," 25,90","   31,92","   826,58"
24.05,10.100,429," 23,54","   28,85","   679,23"
25.05,32.104,2.149," 14,94","   32,36","   483,40"
26.05,30.576,1.952," 15,66","   38,46","   602,41"
27.05,38.209,2.017," 18,94","   31,60","   598,64"
28.05,35.680,2.008," 17,77","   33,73","   599,40"
29.05,34.412,1.983," 17,35","   35,32","   612,96"
30.05,53.201,2.031," 26,19","   28,78","   753,78"
31.05,10.721,449," 23,88","   27,88","   665,74"
?,1.005.752,53.919," 591,10","   1021,42","   19176,82"
?,32.444,1.739," 19,07","   32,95","   618,61"
