Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/saw, /nwn/apps/epaper/saw",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:50:30 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,203,87," 2,33","   48,91","   114,13"
02.05,17.545,1.323," 13,26","   33,66","   446,43"
03.05,6.263,243," 25,77","   30,77","   793,11"
04.05,610,49," 12,45","   14,79","   184,07"
05.05,338,23," 14,70","   8,73","   128,33"
06.05,76,16," 4,75","   39,83","   189,21"
07.05,208,26," 8,00","   35,25","   282,03"
08.05,195,39," 5,00","   25,32","   126,60"
09.05,17.253,1.322," 13,05","   35,34","   461,23"
10.05,7.511,286," 26,26","   29,44","   773,23"
11.05,1.122,81," 13,85","   24,15","   334,59"
12.05,339,44," 7,70","   21,98","   169,32"
13.05,208,33," 6,30","   21,26","   134,02"
14.05,274,37," 7,41","   27,57","   204,16"
15.05,276,34," 8,12","   13,08","   106,20"
16.05,16.806,1.364," 12,32","   31,14","   383,68"
17.05,7.103,237," 29,97","   28,30","   848,24"
18.05,464,51," 9,10","   31,70","   288,45"
19.05,362,34," 10,65","   22,72","   241,93"
20.05,195,37," 5,27","   36,49","   192,33"
21.05,467,45," 10,38","   34,43","   357,30"
22.05,118,41," 2,88","   39,87","   114,75"
23.05,16.793,1.356," 12,38","   35,52","   439,91"
24.05,6.128,224," 27,36","   33,54","   917,47"
25.05,483,43," 11,23","   23,72","   266,47"
26.05,178,20," 8,90","   12,16","   108,26"
27.05,230,22," 10,45","   16,36","   171,04"
28.05,149,15," 9,93","   22,06","   219,14"
29.05,263,31," 8,48","   29,35","   248,99"
30.05,15.189,1.294," 11,74","   32,59","   382,57"
31.05,6.307,246," 25,64","   34,10","   874,24"
?,123.656,8.703," 375,64","   874,18","   10501,44"
?,3.989,281," 12,12","   28,20","   338,76"
