Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...oz/live, /nwn/apps/live/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:51:25 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,43.585,13.644," 3,19","   118,51","   378,57"
02.05,38.617,12.471," 3,10","   117,85","   364,92"
03.05,35.075,11.870," 2,95","   115,03","   339,90"
04.05,41.160,12.137," 3,39","   100,07","   339,37"
05.05,41.853,12.066," 3,47","   103,96","   360,60"
06.05,37.445,11.756," 3,19","   112,81","   359,33"
07.05,35.289,11.064," 3,19","   111,49","   355,59"
08.05,38.296,11.794," 3,25","   117,98","   383,07"
09.05,35.094,10.812," 3,25","   112,25","   364,34"
10.05,35.867,11.566," 3,10","   114,24","   354,25"
11.05,41.968,12.621," 3,33","   109,61","   364,49"
12.05,36.947,11.694," 3,16","   112,09","   354,14"
13.05,35.701,11.887," 3,00","   115,09","   345,65"
14.05,33.435,11.106," 3,01","   112,40","   338,38"
15.05,33.923,11.365," 2,98","   118,10","   352,50"
16.05,33.625,11.036," 3,05","   111,44","   339,54"
17.05,32.309,10.853," 2,98","   104,26","   310,36"
18.05,36.099,11.386," 3,17","   104,82","   332,32"
19.05,37.773,11.327," 3,33","   100,18","   334,09"
20.05,35.096,11.089," 3,16","   109,24","   345,73"
21.05,37.125,11.245," 3,30","   104,69","   345,62"
22.05,34.486,11.063," 3,12","   107,31","   334,50"
23.05,34.585,11.106," 3,11","   118,13","   367,88"
24.05,29.750,10.391," 2,86","   103,74","   297,00"
25.05,31.520,10.617," 2,97","   110,09","   326,84"
26.05,32.326,10.104," 3,20","   104,73","   335,06"
27.05,33.204,10.967," 3,03","   117,47","   355,65"
28.05,29.401,9.926," 2,96","   111,46","   330,14"
29.05,35.216,11.133," 3,16","   109,68","   346,94"
30.05,29.320,9.620," 3,05","   111,85","   340,90"
31.05,27.214,9.673," 2,81","   113,05","   318,06"
?,1.093.304,349.389," 96,83","   3433,58","   10715,74"
?,35.268,11.271," 3,12","   110,76","   345,67"
