Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/soz/android/p...paper, /nwn/apps/epaper/soz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:51:47 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,19.041,2.556," 7,45","   43,79","   326,22"
02.05,93.823,3.719," 25,23","   32,66","   824,02"
03.05,16.274,736," 22,11","   32,38","   715,95"
04.05,54.864,3.686," 14,88","   36,49","   543,18"
05.05,53.654,3.328," 16,12","   40,60","   654,57"
06.05,59.273,3.316," 17,87","   34,89","   623,65"
07.05,57.992,3.185," 18,21","   35,04","   637,97"
08.05,57.626,3.199," 18,01","   38,20","   688,04"
09.05,82.954,3.373," 24,59","   33,94","   834,59"
10.05,19.213,774," 24,82","   31,86","   790,88"
11.05,55.990,3.490," 16,04","   33,73","   541,16"
12.05,54.317,3.306," 16,43","   37,19","   610,98"
13.05,60.562,3.386," 17,89","   35,73","   638,98"
14.05,58.366,3.241," 18,01","   36,95","   665,34"
15.05,57.670,3.181," 18,13","   34,67","   628,47"
16.05,91.722,3.219," 28,49","   27,19","   774,84"
17.05,18.035,730," 24,71","   28,17","   695,99"
18.05,51.132,3.415," 14,97","   37,01","   554,18"
19.05,52.338,3.172," 16,50","   36,39","   600,37"
20.05,55.609,3.190," 17,43","   37,06","   645,97"
21.05,11.016,967," 11,39","   32,90","   374,81"
22.05,58.778,3.342," 17,59","   34,86","   613,16"
23.05,88.667,3.314," 26,76","   30,11","   805,67"
24.05,16.332,673," 24,27","   30,16","   731,89"
25.05,50.664,3.370," 15,03","   33,11","   497,74"
26.05,48.625,3.081," 15,78","   38,46","   607,06"
27.05,58.817,3.078," 19,11","   31,81","   607,79"
28.05,56.270,3.115," 18,06","   33,29","   601,36"
29.05,53.888,3.103," 17,37","   34,31","   595,81"
30.05,80.583,3.218," 25,04","   29,77","   745,50"
31.05,17.325,695," 24,93","   30,87","   769,55"
?,1.611.420,86.158," 593,24","   1063,58","   19945,70"
?,51.981,2.779," 19,14","   34,31","   643,41"
