Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/aaz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:00 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,460.221,111.993," 4,11","   68,46","   281,34"
02.05,357.381,93.821," 3,81","   77,48","   295,14"
03.05,339.697,100.142," 3,39","   80,60","   273,40"
04.05,468.962,120.222," 3,90","   77,01","   300,40"
05.05,489.867,126.192," 3,88","   75,05","   291,32"
06.05,427.131,130.249," 3,28","   90,96","   298,28"
07.05,361.102,117.168," 3,08","   93,44","   287,96"
08.05,401.053,106.387," 3,77","   77,05","   290,47"
09.05,376.942,102.277," 3,69","   69,65","   256,70"
10.05,440.927,107.371," 4,11","   57,16","   234,74"
11.05,556.166,130.665," 4,26","   63,21","   269,06"
12.05,518.810,125.154," 4,15","   64,85","   268,84"
13.05,460.184,124.347," 3,70","   73,43","   271,76"
14.05,484.224,111.011," 4,36","   62,29","   271,70"
15.05,475.948,121.013," 3,93","   65,25","   256,61"
16.05,393.792,101.065," 3,90","   66,69","   259,86"
17.05,335.121,91.875," 3,65","   69,16","   252,26"
18.05,427.968,101.504," 4,22","   68,63","   289,35"
19.05,462.628,102.141," 4,53","   60,36","   273,38"
20.05,435.089,105.731," 4,12","   62,83","   258,54"
21.05,386.784,88.063," 4,39","   56,11","   246,44"
22.05,332.065,90.110," 3,69","   78,16","   288,02"
23.05,337.145,99.631," 3,38","   86,11","   291,41"
24.05,290.254,91.817," 3,16","   79,42","   251,07"
25.05,407.252,102.855," 3,96","   69,77","   276,26"
26.05,406.226,105.759," 3,84","   67,28","   258,42"
27.05,400.567,127.453," 3,14","   83,05","   261,03"
28.05,393.949,107.191," 3,68","   72,39","   266,06"
29.05,413.861,111.759," 3,70","   72,49","   268,43"
30.05,281.808,83.422," 3,38","   76,71","   259,13"
31.05,260.173,74.782," 3,48","   73,89","   257,08"
?,12.583.297,3.313.170," 117,62","   2238,95","   8404,48"
?,405.913,106.876," 3,79","   72,22","   271,11"
